# Swedish-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:47:47+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Sofia'''	Sofia
Joakim	Joachim
Johan	John
Johanna	Jane
Johannes	John
Joniska havet	Ionian Sea
Jordan	Jordan
Jordanien	Jordan
Josef	Joseph
Jugoslavien	Yugoslavia
Julia	Juliet
Jungfrun	Virgo
Kaba	Caaba
Kali	Kali
Kalifornien	California
Kambodja	Cambodia
Kamerun	Cameroon
Kanada	Canada
Kanadagås	Canada goose
Kanadensare	Canadian
Kap Verde	Cape Verde
Kapitolium	capitol
Karl	Charles
Karlovac	Karlovac
Kaspiska havet	Caspian Sea
Katalonien	Catalonia
Katarina	Catherine
Kaukasien	Caucasus
Kazakstan	Kazakhstan
Kenya	Kenya
Khartoum	Khartoum
Kina	China
Kirgizistan	Kyrgyzstan
Kiribati	Kiribati
Kohtla-Järve	Kohtla-Järve
Kongo	Congo
Kongo-Brazzaville	Congo
Kongo-Kinshasa	Congo
Konstantinopel	Constantinople
Korea	Korea
Korniska	Cornish
Krambjörnarna	Care Bears
Kristoffer	Christopher
Kroatien	Croatia
Kräftan	Cancer
Kuba	Cuba
Kurdistan	Kurdistan
Kuwait	Kuwait
Kyoto	Kyoto
Köln	Cologne
Köpenhamn	Copenhagen
Laos	Laos
Lars	Laurence
Laura	Laura
Lejonet	Leo
Lesotho	Lesotho
Lettland	Latvia
Libanon	Lebanon
Liberia	Liberia
Libyen	Libya
Liechtenstein	Liechtenstein
Litauen	Lithuania
London	London
Ludvig	Louis
Lukas	Luke
Lukianos	Lucian
Luxemburg	Luxembourg
Maas	Meuse
Madagaskar	Madagascar
Madrid	Madrid
Makedonien	Macedonia
Malawi	Malawi
Malaysia	Malaysia
Maldiverna	Maldives
Mali	Mali
Malta	Malta
Man	Isle of Man
Manitoba	Manitoba
Margareta	Margaret
Maria	Mary
Markus	Mark
Marocko	Morocco
Mars	Mars
Marshallöarna	Marshall Islands
Marta	Martha
Martin, Mårten	Martin
Martinique	Martinique
Mattias	Matthew
Mauretanien	Mauritania
Mauritius	Mauritius
Mayotte	Mayotte
McDonald’s	McDonald's
Medelhavet	Mediterranean Sea
Mekka	Mecca
Mellanöstern	Middle East
Menorca	Minorca
Merkurius	Mercury
Mesolitisk tid	Mesolithic
Mexico City	Mexico City
Mexico City	Mexico
Mexiko	Mexico
Mika	Micah
Mikael	Michael
Mikronesien	Micronesia
Milano	Milan
Mirjam	Miriam
Mississippi	Mississippi
Mississippifloden	Mississippi
Missouri	Missouri
Moldavien	Moldova
Monaco	Monaco
Mongoliet	Mongolia
Moses	Moses
Moskva	Moscow
Motståndare	adversary
Moçambique	Mozambique
Musa	Muse
Musse Pigg	Mickey Mouse
Myanmar (1), burmesiska	Myanmar
Möbiusband	Möbius strip
München	Munich
NATO	NATO
Nagykanizsa	Nagykanizsa
Nahuatl	Nahuatl
Namibia	Namibia
Nauru	Nauru
Nederländerna	Netherlands
Neolitisk tid	Neolithic
Nepal	Nepal
Neptunus	Neptune
New Jersey	New Jersey
New York	New York
New York	New York City
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria
Nike	Nike
Nilen	Nile
Nils	Nicholas
Niue	Niue
Noak	Noah
Nordamerika	North America
Nordeuropa	Northern Europe
Nordkorea	North Korea
Nordsjön	North Sea
Norfolkön	Norfolk Island
Norge	Norway
Norra ishavet	Arctic Ocean
Northern Territory	Northern Territory
Nya Guinea	New Guinea
Nya Zeeland	New Zealand
Nyx	Nyx
När katten är borta, dansar råttorna på bordet	when the cat's away the mice will play
Oceanien	Oceania
Ockhams rakkniv	Occam's razor
Odysséen	Odyssey
Oidentifierat flygande föremål	unidentified flying object
Olympiska Spelen	Olympic Games
Olympiska vinterspel	Olympic Winter Games
Oman	Oman
Orinoco	Orinoco
Ouagadougou	Ouagadougou
Oxen	Taurus
Pakistan	Pakistan
Palau	Palau
Palestina	Palestine
Panama	Panama
Panchatantra	Panchatantra
Pandjab	Punjab
Pangea	Pangaea
Papua Nya Guinea	Papua New Guinea
Paris	Paris
Perikles	Pericles
Peru	Peru
Plancks konstant	Planck's constant
Plinius	Pliny
Pluto	Pluto
Polen	Poland
Portugal	Portugal
Prag	Prague
Preussen	Prussia
Puerto Rico	Puerto Rico
Pythagoras	Pythagoras
Påskön	Easter Island
Qatar	Qatar
Quidditch	quidditch
Rakel	Rachel
Rakvere, (Wesenberg	Rakvere
Regnbåge	rainbow trout
Rhen	Rhine
Riga	Riga
Rigabukten	Gulf of Riga
Rikard	Richard
Robert	Robert
Rom byggdes inte på en dag	Rome wasn't built in a day
Romer	Roman
Romerska riket	Roman Empire
Rosettastenen	Rosetta Stone
Roxana	Roxanne
Rumänien	Romania
Rwanda	Rwanda
Ryska federationen	Russian Federation
Ryssland	Russia
Röda havet	Red Sea
Rödluvan	Little Red Riding Hood
Saint Christopher och Nevis	Saint Kitts and Nevis
Saint Lucia	Saint Lucia
Saint Vincent och Grenadinerna	Saint Vincent and the Grenadines
Salladslök	scallion
Salomonöarna	Solomon Islands
Samoa	Samoa
Samosata	Samosata
Samuel	Samuel
San Marino (1)	San Marino
Sara	Sarah
Sarajevo	Sarajevo
Sardinien	Sardinia
Satan	Satan
Saturnus	Saturn
Saudiarabien	Saudi Arabia
Schrödingers katt	Schrödinger's cat
Schweiz	Switzerland
Senegal	Senegal
Septuaginta	Septuagint
Serbien och Montenegro	Serbia and Montenegro
Serbokroatiska	Serbo-Croatian
Seychellerna	Seychelles
Sfinxen	Sphinx
Sherlock Holmes	Sherlock Holmes
Shiraz	Shiraz
Shiraz, Syrah	Shiraz
Sicilien	Sicily
Sierra Leone	Sierra Leone
Singapore	Singapore
Skandinavien	Scandinavia
Skottland	Scotland
Skytten	Sagittarius
Slovakien	Slovakia
Slovenien	Slovenia
Sofia	Sophia
Somalia	Somalia
Somaliska	Somali
Sovjetunionen	Soviet Union
Spanien	Spain
Spindelmannen	Spider-Man
Sri Lanka	Sri Lanka
Stefan	Stephen
Stevia	stevia
Stilla havet	Pacific Ocean
Storbritannien	United Kingdom
Storbritannien	Great Britain
Stövel	boot
Sudan	Sudan
Sudetenland	Sudetenland
Suezkanalen	Suez Canal
Surinam	Suriname
Svalbard	Svalbard
Svalbard och Jan Mayen	Svalbard and Jan Mayen Islands
Svarta havet	Black Sea
Sverige	Sweden
Swaziland	Swaziland
Sydafrika	South Africa
Sydeuropa	Southern Europe
Sydkorea	South Korea
Syrien	Syria
Söul	Seoul
Tadzjikistan	Tajikistan
Taiwan	Taiwan
Tanzania	Tanzania
Tasmanien	Tasmania
Tchad	Chad
Teresia	Teresa
Tetris	Tetris
Thailand	Thailand
Themsen	Thames
Timişoara	Timişoara
Tjeckien	Czechia
Tjeckien	Czech Republic
Togo	Togo
Tokelau	Tokelau
Tomas	Thomas
Tonga	Tonga
Transnistrien	Transnistria
Transsylvanien	Transylvania
Trinidad och Tobago	Trinidad and Tobago
Tunisien	Tunisia
Turkiet	Turkey
Turkmenistan	Turkmenistan
Tuvalu	Tuvalu
Tyros	Tyre
Tysk-Romerska Riket	Holy Roman Empire
Tyska orden	Teutonic Knights
Tyskland	Germany
Törnrosa	Sleeping Beauty
UFO	UFO
Uganda	Uganda
Ukraina	Ukraine
Ulrika	Ulrica
Ungern	Hungary
Uppenbarelseboken	Revelation
Uranos	Uranus
Uranus	Uranus
Uruguay	Uruguay
Uzbekistan	Uzbekistan
VSV	QED
Valakiet	Wallachia
Vancouver	Vancouver
Vanuatu	Vanuatu
Vattumannen	Aquarius
Venedig	Venice
Venezuela	Venezuela
Venus	Venus
Vietnam	Vietnam
Viktoria	Victoria
Vilhelm	William
Vincent	Vincent
Vintergatan	galaxy
Vintergatan	Milky Way
Vita huset	White House
Vitryska SSR	Byelorussian SSR
Vitryssland	Belarus
Volkswagen Typ 1, bubbla	beetle
Väduren	Aries
Västeuropa	Western Europe
Västsahara	Western Sahara
Vågen	Libra
Vår Fru	Our Lady
Wales	Wales
Warszawa	Warsaw
Wikimedia	Wikimedia Foundation
Wikipedia	Wikipedia
Wiktionary	Wiktionary
Yemen	Yemen
Zagreb	Zagreb
Zambia	Zambia
Zimbabwe	Zimbabwe
Zoo, djurpark	zoo
Zoroastrism	Zoroastrianism
abaca	Manila hemp
abborre	perch
abchaziska	Abkhazian
abchaziska	Abkhaz
abort	abortion
absint	absinthe
absolut	absolute
absoluta nollpunkten	absolute zero
absorbera	absorb
absorption	absorption
abstrakt	abstract
absurd, befängd	absurd
acceleration	acceleration
accelerera	accelerate
acceptabel	acceptable
acceptans	acceptance
acetat	acetate
acetylen	acetylene
ackord	chord
ackumulator	accumulator
ackusativ	accusative case
ackusativ	accusative
ad hoc	ad hoc
adamsäpple	Adam's apple
addera	add
addition	addition
adjektiv	adjective
adjö	goodbye
adverb	adverb
advokat	lawyer
advokat	attorney
afghan	Afghan
afghansk	Afghan
afghanska	Afghan
afrikaans	Afrikaans
agenda	calendar
agera	act
agera	play
aggressiv	aggressive
agnosticism	agnosticism
agorafobi	agoraphobia
aids	AIDS
ainu	Ainu
aj	ouch
akkadiska	Akkadian
akromegali	acromegaly
akronym	acronym
akt	act
aktie	share
aktinium	actinium
aktivitet	activity
akupunktur	acupuncture
akvatisk	aquatic
akvifär	aquifer
al	alder
al-Qaida	al-Qaeda
albino	albino
aldrig	never
alfa	alpha
alfabet	alphabet
alfabetisk	alphabetical
alfabetisk	alphabetic
algebra	algebra
algerier	Algerian
algerisk	Algerian
algoritm	algorithm
alkemist	alchemist
alkohol-	alcoholic
alkoholhaltig	alcoholic
alkoholist	alcoholic
alla	each
alla	all
alla	everybody
alla	everyone
allaredan	already
allerstädes närvarande	ubiquitous
alligator	alligator
allt	everything
allt	all
alltför	too
alltså	then
alm	elm
alpacka	alpaca
alpkaja	alpine chough
alpstenbock	ibex
alruna	mandrake
alternativ	choice
altitud	altitude
aluminium	aluminium
aluminium	aluminum
alv	elf
amatör	amateur
ambassad	embassy
ambassadör	ambassador
ambigram	ambigram
ambrosia	ambrosia
ambulans	ambulance
americium	americium
amerikan	American
amerikansk	American
amerikansk bison	American bison
amerikansk fotboll	football
amhariska	Amharic
anagram	anagram
analog	analogue
analogi	analogy
analsex	anal sex
analys	analysis
ananas	pineapple
anarki	anarchy
anarkism	anarchism
anblick	sight
and	duck
anda	spirit
ande	spirit
andel	share
andlig	spiritual
andra	second
andrahandsvara	second
anemi	anemia
anföringstecken	quotation mark
angenäm	pleasant
anime	anime
ankare	anchor
ankel	ankle
anknytning	link
ankomst	arrival
anlägga	build
anmärkning	remark
annan	other
annons	advertisement
ansikte	face
anställa	employ
anställd	employee
ansvar	responsibility
anta	suppose
anteckna	record
anteckning	note
antenn	antenna
antikrist	antichrist
antilop	antelope
antimon	antimony
antonym	antonym
antropologi	anthropology
använd	old
använda	use
användare	user
apa	monkey
apatit	apatite
apelsin	orange
apelsinträd	orange
apelträ	apple
apostrof	apostrophe
apotek	pharmacy
appendix	appendix
aprikos	apricot
aprikosträd	apricot
april	April
ar	are
arab	Arab
arabisk	Arabic
arabiska	Arabic
arbetare	worker
arbetare i alla länder, förenen eder	workers of the world, unite
arbete	work
arbetslöshet	unemployment
area	area
arg	angry
arginin	arginine
argon	argon
argument	argument
argumentation	argument
aritmetik	arithmetic
arkaisk	archaic
arkeologi	archaeology
arkitekt	architect
arkitektur	architecture
arkiv	file
arkiv	archive
arkivera	archive
arm	arm
armband	bracelet
armborst	crossbow
armenier	Armenian
armenisk	Armenian
armeniska	Armenian
armhåla	armpit
arrogans	arrogance
arrogant	arrogant
arsenik	arsenic
arsle	ass
arsle	asshole
art	species
artikel	paper
arton	eighteen
as	carcass
ask	box
ask	ash
askkopp	ashtray
astat	astatine
asterisk	asterisk
astronomi	astronomy
ateism	atheism
atom	atom
atombomb	atomic bomb
atombomb	A-bomb
atombomb	atom bomb
atombomb	Template:A-bomb/Translations
atomkärna	atomic nucleus
atomnummer	atomic number
att	that
att	to
augusti	August
auktion	auction
australiensisk	Australian
australier	Australian
autokrati	autocracy
autonomi	autonomy
av	by
av choklad	chocolate
avbrott	break
aveny	avenue
avfyra	fire
avgå	resign
avkastning	fruit
avkunna	sentence
avliden	deceased
avlidna	deceased
avlägsen	remote
avlägsna	remove
avokado	avocado
avsikt	purpose
avskild	separate
avskildhet	privacy
avskilja	separate
avsky	abhor
avsky	abominate
avsluta	close
avsluta	complete
avslå	reject
avstånd	distance
avsugning	blowjob
avtal	contract
avtal	agreement
avvikelse	difference
axel	axis
azerbajdzjan	Azeri
azerbajdzjanska	Azeri
babian	baboon
backe	hill
backgammon	backgammon
bad	bath
baddräkt	swimsuit
badkar	bath
badrum	bathroom
badrum	bath
bagare	baker
bageri	bakery
bajonett	bayonet
bajskorv	turd
bak-	hinder
bakfylla	hangover
baklucka	trunk
baksida	back
bakterie	bacterium
bakterier	bacteria
bakände	back
bal	ball
balalajka	balalaika
balans	balance
balansvåg	scales
balansvåg	balance
balansvåg	scale
balja	sheath
balja	scabbard
balkong	balcony
banan	banana
band	tape
band	band
banderoll	banner
bandy	bandy
baner	banner
bank	bank
bankrutt	bankrupt
bar	bar
bara	only
bara	just
barium	barium
bark	bark
barn	child
barnbarn	grandchild
barnmorska	midwife
barnvakt	babysitter
baron	baron
bas	base
bas	bass
baseball	baseball
bask	Basque
basket	basketball
baskiska	Basque
batteri	battery
be	ask
beachvolleyboll	beach volleyball
beck	pitch
bedja	pray
befallning	order
befintlig	actual
befolkning	population
befordra	promote
befordra	transport
befria	free
begravningsplats	cemetery
begravningsplats	graveyard
begäran	request
begåvning	gift
behag	pleasure
behaga	please
behaglig	sweet
behov	need
behå	bra
behöva	need
beige	beige
beklaga	regret
bekymmerslös	carefree
bekämpa	fight
belgare	Belgian
belgisk	Belgian
belladonna	deadly nightshade
belysa	light
belyst	light
belägring	siege
belöning	reward
ben	leg
ben	bone
bensin	gasoline
bensin	petrol
bensinstation	gas station
beredd	ready
berg	mountain
berg	rock
berguv	eagle owl
berkelium	berkelium
beryllium	beryllium
beräkna	calculate
berätta	tell
berättelse	history
besatthet	obsession
besegra	own
beskrivning	description
best	beast
best	animal
bestick	cutlery
bestämd artikel	definite article
besvär	trouble
besättning	crew
besöka	visit
betala	pay
betala	foot
beteende	behavior
beteende	behaviour
betjänt	servant
betong	concrete
betong-	concrete
betyda	mean
betydelse	sense
betydelse	significance
beundran	admiration
bevis	proof
bi	bee
bibliotek	library
bidé	bidet
bifalla	second
bikini	bikini
bikupa	beehive
bil	car
bild	image
bildskärm	monitor
biljard	billiards
biljon	trillion
biljon	billion
binda	tie
bindestreck	hyphen
bio	movie
biografi	biography
biokemi	biochemistry
biologi	biology
bisam	muskrat
biskop	bishop
bisonoxe	buffalo
bit	bit
bita	bite
bitter	bitter
bivax	beeswax
björk	birch
björn	bear
blad	leaf
blad	blade
blanda	mix
blek	light
blek	pale
bli	become
bli kär	fall in love
blindhet	blindness
blindtarm	appendix
blixt	lightning
block	cube
blod	blood
blodgrupp	blood type
blodig	bloody
blogg	blog
blomkål	cauliflower
blomma	flower
bly	lead
bly	lead/experiment2
bly	lead/experiment
blyertspenna	pencil
blyfri	unleaded
blyfri bensin	unleaded fuel
blyg	timid
blyg	shy
bläckfisk	octopus
bläckfisk	squid
blå	blue
blåbär	blueberry
blåmes	blue tit
blått	azure
blåval	blue whale
blöja	diaper
blötdjur	mollusc
bo	live
bo	dwell
bocka	bow
bockning	bow
bockskägg	goatee
bodybuilding	bodybuilding
bofink	chaffinch
bog	bow
bohrium	bohrium
bok	book
bok	beech
boka	book
bokstav	letter
boll	ball
bomb	bomb
bombardera	bomb
bomull	cotton
bonde	farmer
bonde	pawn
bor	boron
bord	table
bordeaux	maroon
bordell	brothel
bordtennis	table tennis
bordtennis	ping pong
borsta	brush
borste	brush
boskap	cattle
bostad	residence
bot	fine
bota	cure
bovete	buckwheat
boxning	boxing
bra	good
brandman	firefighter
brasa	fire
brasilian	Brazilian
brasiliansk	Brazilian
bredvid	next
brev	letter
bridge	bridge
brilliant	diamond
brinna	burn
britt	Briton
bro	bridge
brom	bromine
brons	bronze
bronsfärg	bronze
brorsdotter	niece
brorson	nephew
brosch	brooch
broschyr	brochure
brott	crime
brottning	wrestling
brottslighet	crime
brud	bird
brudgum	bridegroom
brudgum	groom
bruksanvisning	manual
brun	brown
brun dvärg	brown dwarf
brunn	well
bruttonationalprodukt	gross domestic product
brygga	pier
bryta	break
bryta ned	break
brytas	break
bräda	board
bränna	burn
bränna	fire
brännskada	burn
bränsle	fuel
bråck	hernia
brådskande	urgent
bröd	bread
bröllop	wedding
bröst	breast
bud	messenger
buddhism	Buddhism
buffel	buffalo
buk	abdomen
buk	stomach
bukett	bouquet
bukspottkörtel	pancreas
bukt	bay
bulgar	Bulgarian
bulgarisk	Bulgarian
bulgariska	Bulgarian
bulla	bull
bumerang	boomerang
burk	can
bushen	bush
buss	bus
buteljera	bottle
by	village
byggande	building
bygge	building
byrå	office
byråkrati	bureaucracy
byta	change
byte	byte
byxor	pants
byxor	trousers
bäck	brook
bäcken	cymbal
bädd	bed
bänk	bench
bär	berry
bära	carry
bära	bear
bära	wear
bärnsten	amber
bäst	best
bättre	better
bäver	beaver
båda	both
båge	bow
bågskjutning	archery
bågskytt	archer
båt	boat
bög	fruit
böja	bow
böna	bean
börd	family
börja	begin
början	birth
cancer	cancer
cedilj	cedilla
cell	cell
cellulosa	cellulose
cembalo	harpsichord
cent	cent
centimeter	centimetre
cerium	cerium
cesium	caesium
chanse	chance
chanukka	Hanukkah
check	check
check	cheque
chef	boss
chock	shock
choklad	chocolate
choklad	cocoa
chokladbit	chocolate
chokladbrun	chocolate
cigarett	cigarette
cigarr	cigar
cigg	smoke
cirkel	circle
cirkla	circle
citat	quotation
citron	lemon
citronmeliss	lemon balm
cittra	zither
cocktail	cocktail
copyright	copyright
curium	curium
cyan	cyan
cykel	bicycle
cykel	bike
cykel	cycle
cyklon	cyclone
dadel	date
dag	day
dagbok	diary
dagg	dew
daggmask	earthworm
dagjämning	equinox
daglig	daily
dagligt	daily
dagstidning	newspaper
dal	valley
dam	queen
damm	pond
damm	dust
dammsugare	vacuum cleaner
dans	dance
dansa	dance
dansare	dancer
dansk	Danish
dansk	Dane
danska	Danish
darmstadtium	darmstadtium
datavetenskap	computer science
dativ	dative case
dativ	dative
dator	computer
datorspel	computer game
de	they
de flesta	most
de tio budorden	Ten Commandments
debatt	debate
debattera	debate
december	December
defaitism	defeatism
deg	dough
deism	deism
dekad	decade
deklarera	declare
del	part
delfin	dolphin
delikat	delicious
delmängd	subset
delrepublik	republic
delta	participate
delta	partake
deltagare	participant
demokrati	democracy
den	the
den	it
den	that
den här	this
deoxiribonukleinsyra	deoxyribonucleic acid
deras	their
dervisch	Dervish
dessa	these
dessutom	then
dessutom	moreover
det finns	there is
det var en gång	once upon a time
det är rena grekiskan	it's all Greek to me
deuterium	deuterium
dialekt	dialect
dialog	dialogue
diameter	diameter
diarré	shit
diarré	diarrhea
differens	difference
differentialekvation	differential equation
digerdöden	Black Death
dikt	poem
diktator	dictator
dill	dill
dimma	fog
dirigent	conductor
diskett	diskette
diskussion	discussion
diskutera	discuss
dissertation	thesis
distansera sig	distance
dit	there
dit	thither
division	division
djinn	genie
djup	deep
djur	animal
djurisk	animal
dobra	dobra
dock	albeit
docka	doll
doktor	doctor
dolk	dagger
dolk	knife
dom	sentence
domare	referee
domkyrka	cathedral
donation	donation
dop	baptism
dotter	daughter
dotterdotter	granddaughter
dovhjort	fallow deer
doxologi	doxology
dra	pull
dra åt helvete	fuck you
dragkedja	zip fastener
dragspel	accordion
drake	dragon
drake	kite
drastisk	drastic
drejskiva	lathe
dricka	drink
drickande	drink
drickbar	potable
dricksvatten	drinking water
drink	drink
drog	drug
dromedar	dromedary
dront	dodo
droppe	drop
drottning	queen
drucken	drunk
dryck	drink
dryck	beverage
dröm	dream
drömma	dream
drönare	drone
du	thou
dubbel	double
dum	stupid
duma	duma
dundra	thunder
dusch	shower
duscha	shower
dussin	dozen
duva	pigeon
duva	dove
dvs	i.e.
dvärg	dwarf
dvärgplanet	dwarf planet
dygd	virtue
dygn	day
dyn	dune
dyna	cushion
dyr	expensive
dyrbar	precious
däck	tire
däggdjur	mammal
där	there
där	where
därför	hence
därför att	because
därmed	ergo
därpå	then
då	then
dålig	bad
dålig	poor
dåre	fool
dö	die
död	death
död	dead
döda	kill
dödfödd	stillborn
dödlig	mortal
dödlighet	mortality
dödshjälp	euthanasia
dölja	conceal
döpa	name
dörr	door
döv	deaf
e-post	e-mail
ed	oath
effektivitet	efficacy
efter	after
efter	by
efter Kristus	anno Domini
efter Kristus	Anno Domini
efterfrågan	demand
eftermiddag	afternoon
efternamn	surname
eftersom	for
eftersom	as
egen	own
egendom	property
egennamn	proper noun
egenskap	property
egentlig	proper
egentligen	really
egenvärde	eigenvalue
ego	ego
egoistisk	selfish
egyptier	Egyptian
egyptisk	Egyptian
ejakulera	ejaculate
ek	oak
ek	stag-beetle
eko-	eco-
ekollon	acorn
ekologi	ecology
ekonomi	economy
