# French-English dictionary created from English Wiktionary
# Created on: 2011-03-23T11:21:30+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Mickey Mouse'''	Mickey Mouse
Suède	Sweden
Suédois	Swede
Svalbard	Svalbard
Swaziland	Swaziland
Sydney	Sydney
Syrie	Syria
Sénégal	Senegal
Séoul	Seoul
Séville	Seville
T-shirt	T-shirt
TVA	VAT
Tadjikistan	Tajikistan
Talon d'Achille	Achilles heel
Tamise	Thames
Tamoul	Tamil
Tanzanie	Tanzania
Tasmanie	Tasmania
Tatar	Tatar
Taureau	Taurus
Taïwan	Taiwan
Taïwanais	Taiwanese
Tchad	Chad
Tchèque	Czech
Tchéquie	Czechia
Territoire-du-Nord	Northern Territory
Tetris	Tetris
Thaïlandais	Thai
Thaïlande	Thailand
Thomas	Thomas
Thérèse	Teresa
Tibet	Tibet
Tigres tamouls	Tamil Tigers
Timişoara	Timişoara
Timor Oriental	East Timor
Tirana	Tirana
Togo	Togo
Tokyo, (''academic spelling'') Tōkyō	Tokyo
Tokélaou	Tokelau
Tonga	Tonga
Transnistrie	Transnistria
Transylvanie	Transylvania
Trinité-et-Tobago	Trinidad and Tobago
Tunisie	Tunisia
Turc	Turk
Turkménistan	Turkmenistan
Turquie	Turkey
Tuvalu	Tuvalu
Tyr	Tyre
Téhéran	Tehran
Témoins de Jéhovah	Jehovah's Witnesses
UE (Union Européenne	EU
URSS	USSR
Ukraine	Ukraine
Ukrainien	Ukrainian
Ulrique	Ulrica
Unicode	Unicode
Union Soviétique	Soviet Union
Union des Républiques Socialistes Soviétiques	Union of Soviet Socialist Republics
Union européenne	European Union
Uranus	Uranus
Uruguay	Uruguay
Va-t-il pleuvoir	Is it going to rain?
Valachie	Wallachia
Vancouver	Vancouver
Vanuatu	Vanuatu
Varsovie	Warsaw
Vatican	Vatican City
Venezuela	Venezuela
Venise	Venice
Verseau	Aquarius
Victoria	Victoria
Vienne	Vienna
Vierge	Virgo
Vierge Marie	Virgin Mary
Vietnamien	Vietnamese
Vincent	Vincent
Viêt Nam	Vietnam
Voie	galaxy
Vénus	Venus
Wikimedia Foundation	Wikimedia Foundation
Wikipédia	Wikipedia
Wiktionnaire	Wiktionary
Yougoslavie	Yugoslavia
Yémen	Yemen
Zagreb	Zagreb
Zambie	Zambia
Zimbabwe	Zimbabwe
Zoroastrisme	Zoroastrianism
abaca	abaca
abandonner	quit
abandonner	forsake
abandonné	abandoned
abbaye	abbey
abcès	abscess
abdication	abdication
abdomen	abdomen
abeille	bee
abeille à miel	honey bee
abeille à miel	honeybee
abessif	abessive case
abilité	ability
abkhazien	Abkhazian
abkhazien	Abkhaz
ablatif	ablative case
aboiement	bark
abolir	abolish
abondance	plenty
abondance	abundance
abondant	abundant
aboyer	bark
abreuver	water
abricot	apricot
abricotier	apricot
abrégé	abbreviated
absolu	absolute
absolutif	absolutive case
absorber	absorb
absorption	absorption
absoudre	absolve
abstention	abstention
abstract	abstract
absurde	absurd
abus	abuse
abuser	abuse
acceptable	acceptable
acceptation	acceptance
accepter	accept
accidentellement	accidentally
accomplir	complete
accord	chord
accord	agreement
accorder	agree
accordéon	accordion
accoucher	birth
accueil	reception
accueillir	welcome
accueillir	accept
accumulateur	accumulator
accumuler	accumulate
accusateur	accusatory
accusatif	accusative case
accusatif	accusative
accuser	accuse
accès	access
accélération	acceleration
accélérer	accelerate
acheter	buy
acide	acid
acide aminé	amino acid
acide carboxylique	carboxylic acid
acide chlorhydrique	hydrochloric acid
acide désoxyribonucléique	deoxyribonucleic acid
acier	steel
acier inoxydable	stainless steel
acrobate	acrobat
acromégalie	acromegaly
acronyme	acronym
acte	act
acteur	actor
actinium	actinium
action	action
activer	activate
activité	activity
actrice	actress
acupuncture	acupuncture
acétate	acetate
acétylène	acetylene
ad hoc	ad hoc
addition	addition
addition	check
additionner	add
adjectif	adjective
adjectif	adjectival
administrateur	administrator
administration	management
admiration	admiration
adolescent	teenager
adresse	address
adulte	adult
adultère	adultery
advenir	happen
adverbe	adverb
adversaire	adversary
adéquat	adequate
affaire	business
affilé	sharp
affronter	face
afghan	Afghan
africain	African
afrikaans	Afrikaans
agneau	lamb
agnosticisme	agnosticism
agoraphobie	agoraphobia
agouti	agouti
agrafeuse	stapler
agressif	aggressive
agréable	pleasant
aide	help
aider	help
aider	aid
aigle	eagle
aigle pêcheur	osprey
aigle royal	golden eagle
aiglefin	haddock
aigre	sour
aigre	acid
aiguille	needle
aiguille	hand
ail	garlic
aimant	magnet
aimer	love
aimer	like
ainsi	thus
ainsi	hence
air	air
aire	area
aisselle	armpit
ajourner	postpone
ajuster	adjust
akkadien	Akkadian
albanais	Albanian
albatros	albatross
albino	albino
alchimiste	alchemist
alcoolique	alcoholic
alcoolisé	alcoholic
algorithme	algorithm
algues	seaweed
algèbre	algebra
algèbre linéaire	linear algebra
alibi	alibi
alimentaire	nutritional
allatif	allative case
allemand	German
aller	go
aller	be
aller	vacation
allez	let's go
alliage	alloy
alligator	alligator
allons	let's go
allumer	light
allumer	set on fire
allumette	match
allumé	on
allée	alley
alléluia	hallelujah
allô	hello
alors	then
alouette	lark
alouette des champs	skylark
alpaga	alpaca
alpha	alpha
alphabet	alphabet
alphabet latin	Latin alphabet
alphabet phonétique international	International Phonetic Alphabet
alphabétique	alphabetical
alphabétique	alphabetic
altéré	thirsty
aluminium	aluminium
aluminium	aluminum
alêne	awl
amande	almond
amandier	almond
amaranthe	amaranth
amateur	amateur
ambassade	embassy
ambiance	atmosphere
ambigramme	ambigram
ambigu	ambiguous
ambre	amber
ambroisie	ambrosia
ambulance	ambulance
amende	fine
amer	bitter
amharique	Amharic
ami	friend
amie intime	girlfriend
amis	friends
amitié	friendship
amour	love
amour non récompensé	unrequited love
amoureux	lover
amphibien	amphibian
amphétamine	amphetamine
ampoule	light bulb
amusement	amusement
améliorer	improve
améliorer	ameliorate
américaine	American
américium	americium
an	year
anachronique	anachronistic
anagramme	anagram
analogie	analogy
analyse	analysis
analyste	analyst
ananas	pineapple
anarchie	anarchy
anarchisme	anarchism
anatomie	anatomy
anchois	anchovy
ancien	old
ancre	anchor
aneth	dill
ange	angel
anglais	English
angle	angle
anguille	eel
anhydride carbonique	carbon dioxide
animal	animal
animé	anime
anis	anise
anneau	ring
annexe	appendix
anniversaire	birthday
annuel	annual
annuel	yearly
annuellement	yearly
annulaire	ring finger
année bissextile	leap year
année-lumière	light year
antenne	antenna
anthropologie	anthropology
antimoine	antimony
antique	ancient
antonyme	antonym
antéchrist	antichrist
août	August
apatite	apatite
aphorisme	aphorism
apocalypse	Apocalypse
apocalypse	apocalypse
apostasie	apostasy
apostrophe	apostrophe
appareil photo	camera
apparent	ostensible
appartement	apartment
appel	call
appeler	call
appendice	appendix
appendicite	appendicitis
apporter	bring
apprécier	appreciate
après	after
après	behind
après Jésus-Christ	anno Domini
après Jésus-Christ	Anno Domini
après-demain	day after tomorrow
après-demain	overmorrow
après-midi	afternoon
apôtre	apostle
aquatique	aquatic
aquifère	aquifer
arabe	Arabic
arabe	Arab
arachide	peanut
araignée	spider
arbalète	crossbow
arbitraire	arbitrary
arbitre	referee
arbitre	judge
arbre	tree
arbre de Noël	Christmas tree
arc	bow
arc	arc
arc-en-ciel	rainbow
archange	archangel
archaïque	archaic
archer	archer
archet	bow
archiduc	archduke
architecte	architect
architecture	architecture
archiver	archive
archéologie	archaeology
argent	silver
argent	argent
argent	money
argenterie	silverware
argentin	Argentinian
argenté	silver
argile	clay
arginine	arginine
argon	argon
argot	slang
argument	argument
arithmétique	arithmetic
arme	weapon
arme	arm
arme de destruction massive	weapon of mass destruction
arme à feu	firearm
armes de destruction massive	weapons of mass destruction
armistice	armistice
armoiries	coat of arms
armoise	wormwood
armoise	mugwort
armure	armor
armure	armour
armée de l'air	air force
arménien	Armenian
arobase	at sign
arobase	at symbol
arranger	arrange
arrivée	arrival
arrivée	destination
arrière-grand-père	great-grandfather
arrière-train	bottom
arrogant	arrogant
arroser	water
arrosoir	can
arrosoir	watering can
arrêt	stop
arrêter	stop
arsenal	magazine
arsenic	arsenic
art	art
artichaut	artichoke
article	second
article défini	definite article
article indéfini	indefinite article
articulation	joint
articulation du doigt	knuckle
artiste	artist
artère	artery
arèglement	adjustment
as	ace
ascenseur	lift
asile	asylum
aspect	aspect
aspirateur	vacuum
aspirateur	vacuum cleaner
aspirer	long
aspirine	aspirin
assez	enough
assiette	plate
assiette	dish
assiéger	siege
astate	astatine
astronaute	astronaut
astronomie	astronomy
astérisque	asterisk
astéroïde	asteroid
athée	atheist
athéisme	atheism
atmosphère	atmosphere
atome	atom
atrocité	atrocity
attacher	attach
attaque	attack
attendre	wait
attraper	hook
attrapeur	seeker
au fur et à mesure que	as
au moins	at least
au moyen	by
au revoir	goodbye
au secours	help
au sujet	about
au-dessus	about
aube	twilight
aube	dawn
auberge	inn
aubergine	aubergine
aubépine	hawthorn
aucun	none
augmenter	augment
aujourd'hui	today
aulne	alder
aussi	as
aussi	also
aussi	too
aussi	so
aussitôt que	once
autel	altar
autisme	autism
autobus	bus
autocratie	autocracy
automne	autumn
automobile, auto	automobile
autonome	autonomous
autonomie	autonomy
autorité	authority
autour	goshawk
autour	about
autre	other
autrichien	Austrian
autruche	ostrich
aux environs	about
av. JC	BC
avalanche	avalanche
avaler	swallow
avant	before
avant-dernier	penultimate
avant-hier	ereyesterday
avant-hier	day before yesterday
avantage	advantage
avec	with
avenir	future
aventure	adventure
avenue	avenue
averse	shower
aveugle	blind
aviation	aviation
avion	airplane
avion	aeroplane
avion	aircraft
avion	plane
avis	opinion
avocat	avocado
avocat	advocate
avocat	lawyer
avocat	attorney
avoine	oat
avoir	have
avoir besoin de	need
avoir l'intention	mean
avoir rendez-vous	meet
avortement	abortion
avril	April
axe	axis
axe du mal	axis of evil
ayatollah	ayatollah
aye-aye	aye-aye
aymara	Aymara
azote	nitrogen
azur	azure
azéri	Azeri
aérer	air
aéroport	airport
aïe	ouch
aïnu	Ainu
babeurre	buttermilk
babouin	baboon
baby-foot	foosball
baby-foot	table football
baby-sitter	babysitter
backgammon	backgammon
bactérie	bacterium
bactéries	bacteria
baffle	speaker
baguette	chopstick
baguette magique	magic wand
baie	berry
baie	bay
bain	bath
baisage	fuck
baiser	fuck
baiser	kiss
baisser	abase
baklava	baklava
bal	ball
balalaïka	balalaika
balance	scales
balance	balance
balance	scale
balancer	swing
balançoire	swing
balayer	sweep
balbutier	stutter
balcon	balcony
baleine	whale
baleine bleue	blue whale
balle	ball
balle	bullet
ballon	balloon
ballon de foot	football
ballot	bundle
bambou	bamboo
banane	banana
bananier	banana
banc	bench
banc	school
bande	tape
bande d'arrêt d'urgence	shoulder
bander	flex
banderole	banner
bandy	bandy
banière	banner
banjo	banjo
banque	bank
baptême	baptism
bar	pub
bar	bar
barbe	beard
barbe à papa	cotton candy
barbiche	goatee
bardane	burdock
bardot	hinny
barrage	dam
barre	bar
baryum	barium
bas	low
bas	stocking
bas	bass
base	base
baseball	baseball
basilic	basil
basilic	basilisk
basket-ball	basketball
basque	Basque
basson	bassoon
bataille	battle
bataille	fight
bateau	boat
battre	beat
bazar	bazaar
baïonnette	bayonet
beach-volley	beach volleyball
beau	beautiful
beau	handsome
beau	fair
beau-fils	son-in-law
beau-fils	stepson
beau-frère	brother-in-law
beau-frère	stepbrother
beau-père	father-in-law
beau-père	stepfather
beaucoup	many
beaucoup	much
beaucoup de	much
bec	beak
bedon	stomach
beige	beige
beignet	doughnut
belette	least weasel
belge	Belgian
belladone	deadly nightshade
belle-fille	stepdaughter
belle-mère	mother-in-law
belle-mère	stepmother
belle-sœur	sister-in-law
bengali	Bengali
berceau	cradle
berceuse	lullaby
berger	shepherd
berkélium	berkelium
besoin	need
betterave	beet
betterave sucrière	sugar beet
beurre	butter
beurrer	butter
biathlon	biathlon
biberon	bottle
bibliothèque	library
bic	ballpoint pen
bicyclette	bicycle
bidet	bidet
bidon	can
bidon	tin
bien	well
bien que	albeit
bien que	although
bien sûr	of course
biens	goods
bientôt	soon
bienvenue	welcome
bifteck	steak
bikini	bikini
bile	bile
billards	billiards
billion	trillion
