# German-English dictionary created from OmegaWiki database
# Created on: 2011-03-24T07:33:00+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADI-Wert	acceptable daily intake
Adelaide	Adelaide
Adipositas	obesity
Adjektiv ; Beiwort ; Eigenschaftswort	adjective ; describing word
Adler	Aquila
Adoption ; Übernahme	adoption
Adriatisches Meer ; Adria	Adriatic Sea
Adsorption	adsorption
Adverb ; Umstandswort ; Nebenwort	adverb
Aerobiologie	aerobiology
Aeronomie ; Physik der Atmosphäre	atmospheric physics
Aerosol	aerosol
Afar	Afar ; Afar
Afghanistan	Afghanistan ; Transitional Islamic State of Afghanistan
Afrika	Africa
Afrikaans	Afrikaans
Agoraphobie ; Agoraphobie	agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia
Agrarbiotechnologie	agricultural biotechnology
Agrarfabrik	factory farming
Agrarindustrie	agroindustry
Agraringenieurwesen	agricultural engineering
Agrarkatastrophe	agricultural disaster
Agrarlandschaft	agricultural landscape
Agrarmanagement	agricultural management
Agrarmethode	agricultural method
Agrarplanung	agricultural planning
Agrarpolitik ; Landwirtschaftspolitik	agricultural policy
Agrarpreis	farm price
Agrarprodukt	agricultural product
Agrarproduktion	agricultural production ; farm production ; agricultural output
Agrarraum	agricultural land
Agrarrecht	agricultural legislation
Agrarschädling ; Schädling	agricultural pest
Agrarstruktur	agricultural structure
Agrarsystem	agrosystem
Agrartechnik	farming technique
Agrartourismus	agritourism
Agrarumweltrecht	environmental legislation on agriculture
Agrarwissenschaft	agronomy
Agrarökologie ; Landwirtschaftsökologie	agricultural ecology ; agroecology
Agrarökonomie	agricultural economics
Agrochemikalie ; Agrarchemikalie	agrochemical
Agroforstwirtschaft	agroforestry
Agrometeorologie	agrometeorology
Akkordeon	accordion ; squeeze box ; piano accordion
Akku ; Akkumulator	accumulator
Akne	acne
Akteneinsicht	inspection of records
Aktivist	activist
Aktivkohle	activated carbon
Akustik	acoustics
Akustik	acoustical quality
Akustikfilter ; akustischer Filter	acoustic filter ; audio filter
Alarmierung	alarm ; alert ; warning
Albanien ; Republik Albanien	Albania ; Republic of Albania
Albinismus	albinism
Alchemist ; Alchimist	alchemist
Alchimie ; Alchemie ; Alchymie	alchemy
Algebra	algebra
Algen	alga
Algenblüte	algal bloom
Algerien ; Demokratische Volksrepublik Algerien	Algeria ; People's Democratic Republic of Algeria
Algizid	algicide ; algaecide
Algorithmus	algorithm
Alibi	alibi
Alkali-Batterie ; alkalische Batterie	alkaline battery
Alkalimetall ; Element der Gruppe I	alkaline ; element of group I ; alkaline metal ; alkali metal
Alkan	alkane ; paraffin ; methane series ; alkane series
Alkohol	alcohol
Alkoholismus	alcoholism
Alkylverbindung	alkyl compound
Allergen	allergen
Allergie	allergy
Allgemeinbildung	general education
Allokation ; Zuteilung	allocation ; allotment ; resource allotment
Allotropie	allotropy
Almanach	almanac
Alpen	Alps
Alpenrepublik ; Österreich	Austria ; Republic of Austria
Alphabet	alphabet
Alphastrahlung ; α-Strahlung	alpha radiation
Altablagerung	old landfill site
Altanlage	antiquated plant
Alternativtechnologie	alternative technology
Altlast	old hazardous site
Altmetall	metal waste
Altpapier	waste paper
Altstadt	historic centre
Altstandort ; Industriehalde ; Industriebrache	abandoned industrial site
Altstoff (ChemG)	existing chemical
Alttextilien	rag
Aluminium	aluminium
Aluminiumbehälter	aluminium container
Aluminiumgehalt	aluminium content
Aluminiumindustrie	aluminium industry
Alveole	air sac ; alveolus
Amalgam	amalgam
Amboss	anvil
Ambulanz ; Krankenwagen	ambulance
Ameise ; Emse	ant
American Football ; amerikanischer Fußball	American football ; American football
Americium	americium
Amerika	Americas
Amerikanisch-Samoa	American Samoa
Amethyst	amethyst
Amin	amine
Aminosäure	amino acid
Ammoniak	ammonia
Ammonifikation	ammonification
Ammonium	ammonium
Amphetamin	amphetamine
Amphibien	amphibian
Amphitheater	amphitheatre
Amplitude	aAmplitude ; amplitude
Amsel	blackbird
Amsterdam	Amsterdam
Amtshilfe	judicial assistance
Amtspflicht	official duty
Amtssprache	official language
Anagramm	anagram
Anakonda	anaconda
Analogie	analogy
Analphabet	illiterate
Analyse	analysis
Analysenausrüstung	analytical equipment
Analysenverfahren ; Analysemethode ; Analyseverfahren	analytical method
Anarchie	anarchy
Anarchismus	anarchism
Anatomie	anatomy
Anbau ; Bebauung	cultivation ; tillage
Anbausystem	cultivation system
Anbautechnik	cultivation method
Andorra	Andorra ; Principality of Andorra
Anfechtung ; Berufung	appeal
Angebot	supply
Angebot und Nachfrage	supply and demand
Angeklagte ; Beklagte	defendant ; accused
Angeln	angling ; fishing ; line-fishing
Angesicht ; Antlitz ; Fressage ; Fresse ; Gesicht ; Larve ; Visage	face
Angewandte Wissenschaft	applied science
Angewandte Ökologie	applied ecology
Angola ; Republik Angola	Angola ; Republic of Angola
Angreifer	aggressor ; assailant ; attacker ; assaulter
Angriff	attack
Anguilla	Anguilla
Anhörung	official hearing
Anhörungsverfahren	hearing procedure
Anime	anime
Anionen ; Anion	anion
Anis	anise
Anker	anchor
Ankunft	arrival
Anlagenausrüstung	plant equipment
Anlagengenehmigung	approval of installations
Anlagenoptimierung	installation optimisation
Anlagensanierung ; Gebäudesanierung	installation restoration
Anmeldepflicht	registration obligation
Anmeldeverfahren	registration proceeding
Anmeldung	registration
Annahme	assumption ; supposition
Annahme ; Akzeptierung	acceptance ; credence
Annäherung	approach
Anpassungsfrist	adaptation period
Anreicherung	enrichment
Anrufsammeltaxe ; Anrufsammeltaxi ; AST ; Ausflugsbus ; Autobus ; Bahnbus ; Bus ; Dieselbus ; Doppeldeckerbus ; Doppelstockbus ; E-Bus ; Ebus ; Elektrobus ; Fernbus ; Flughafenbus ; Gelenkbus ; Hybridbus ; Kleinbus ; Linienbus ; Minibus ; Nahverkehrsbus ; Niederflurbus ; O-Bus ; Oberleitungsbus ; Obus ; Omnibus ; Personenbus ; Postbus ; Pullmann-Bus ; Reisebus ; Rundfahrtbus ; Sammeltaxe ; Sammeltaxi ; Schnellbus ; Schulbus ; Stadtbus ; Trolleybus ; Überlandbus ; Verkehrsbus	bus ; coach
Anschwemmung ; Überschwemmung ; Alluvion	alluvion ; flood ; overflowing ; inundation
Anstellung ; Arbeit ; Beruf ; Beruf ; Beschäftigung ; Job ; Stelle	employment ; employment ; job ; job ; occupation ; work ; work
Anstrengung ; Aufwand	effort ; exertion
Anstrichmittel ; Lack	paint
Antagonismus	antagonism
Antarktik ; Antarktischer Ozean ; Südlicher Ozean ; Südliches Eismeer ; Südpolarmeer	Antarctic Ocean ; Southern Ocean
Antarktis	Antarctica
Antenne	aerial
Anthropologe	anthropologist
Anthropologie	anthropology
Antibiotikum	antibiotic
Antifouling	antifouling agent
Antigua und Barbuda	Antigua and Barbuda
Antikörper	antibody
Antilope	antelope
Antimon	antimony
Antiseismische Regelung ; antiseismische Regelung	antiseismic regulation
Antiteilchen	antiparticle
Antithese	antithesis
Antonym ; Gegenwort	antonym
Antragsrecht	petition right
Antriebstechnik	propulsion technique
Anwendungsforschung	applied research
Anwesenheit der Öffentlichkeit	public attendance
Apartheid	apartheid
Apathie ; Leidenschaftslosigkeit ; Teilnahmslosigkeit	apathy
Apfel	apple
Apfelbaum	apple ; apple tree
Apfelsine ; Orange	orange
Aphorismus	aphorism
Apoptosis	apoptosis
Apostel	apostle
Apotheke	chemist's ; chemist's shop ; pharmacy
Apothekenabfall	pharmaceutical waste
Apotheker	chemist ; pharmacist
Aprikose	apricot
April	April
Aquakultur	aquaculture
Aquamarin	aquamarine
Aquarium	aquarium
Aquädukt	aqueduct
Arabisch	Arabic ; Standard Arabic
Aragonesisch	Aragonese ; Aragonese
Arbeit	labour
Arbeit und Umwelt	employment and environment
Arbeitshygiene	occupational health
Arbeitskraft	manpower
Arbeitskräfte	labour force
Arbeitslosigkeit	unemployment
Arbeitsmarkt	labour market
Arbeitsmedizin	industrial medicine
Arbeitsmedizin	occupational medicine
Arbeitsplatz	workplace
Arbeitsrecht	labour law
Arbeitsschutz	industrial safety
Arbeitsschutzvorschrift	occupational safety regulation
Arbeitssicherheit	occupational safety
Arbeitsunfall	work accident
Arbeitsverhältnisse	labour relations
Arboretum	arboretum
Archipel	archipelago
Architekt ; Architekt ; Architektin ; Architektin	architect
Architektur	architecture
Archiv	archive
Archäologe	archeologist ; archaeologist
Archäologie	archaeology ; archeology ; archæology
Argentinien	Argentina ; Argentine Republic
Argon	argon
Aristokratie	aristocracy
Arithmetik	arithmetic ; arithmetics
Arizona	Arizona
Arktik ; Arktischer Ozean ; Nördliches Eismeer ; Nordpolarmeer	Arctic Ocean
Arm	arm
Armatur ; Armaturen ; GWS-Installation	fitting (plumbing) ; fitting ; plumbing equipment ; plumbing fixtures
Armenien	Armenia
Armenisch	Armenian
Armut ; Bedürftigkeit ; Mittellosigkeit ; Besitzlosigkeit	poverty
Aromastoff	flavouring
Arsen	arsenic
Art ; Spezies	species
Artenschutz	protection of species
Artenvielfalt ; Biodiversität	biodiversity
Arterie	artery
Arthritis	arthritis
Arthropoden ; Gliederfüßer	arthropod
Artikel ; Begleiter ; Geschlechtswort	article
Artischoke ; Artischocke	artichoke
Aruba	Aruba
Arzneimittel	drug
Asamiya ; Assamesisch	Assamese ; Assamese
Asbest	asbestos
Asbestose	asbestosis
Asbestzement	asbestos cement
Asche	ash
Aschenbecher	ashtray
Aserbaidschan	Azerbaijan ; Republic of Azerbaijan
Aserbaidschanisch	Azerbaijani ; Azeri ; Azerbaijani Cluster
Asien	Asia
Asket	ascetic
Asphalt	asphalt
Aspirin	aspirin
Assimilation	assimilation
Ast ; Zweig	branch
Astat	astatine
Asteroid ; Planetoid	asteroid
Asthenosphäre	asthenosphere
Asthma	asthma
Astrologe	astrologer
Astrologie	astrology ; star divination
Astrometrie	astrometry
Astronautik	astronautics
Astronom	astronomer
Astronomie	astronomy
Astrophysik	astrophysics
Asturianisch ; Asturisch ; Asturischleonesisch	Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur
Asymptote	asymptote
Atemluft	respiratory air
Atemwegserkrankung	respiratory disease
Atheisten	atheist
Athen	Athens
Atlantischer Ozean ; Atlantik	Atlantic Ocean
Atlas	atlas
Atmosphäre ; Erdatmosphäre	atmosphere
Atmosphärenchemie	atmospheric chemistry
Atmosphärische Schichtung ; atmosphärische Schichtung ; Schichtung der Atmosphäre	atmospheric layering
Atmosphärische Zusammensetzung ; Zusammensetzung der Atmosphäre ; atmosphärische Zusammensetzung	atmospheric composition
Atmosphärische Überwachung ; Überwachung der Atmosphäre	atmospheric monitoring
Atmosphärologie	atmospheric science
Atmung	respiration
Atmungssystem	respiratory system
Atoll	atoll
Atom	atom
Atomdebatte	nuclear debate
Atommasse	atomic mass
Atomrisiko	nuclear risk
Atomwaffe ; Kernwaffe ; Nuklearwaffe	nuclear weapon
Atrazine	atrazine
Attentäter	assassin ; assassinator
Audit	audit
Aufbau der Atmosphäre ; Struktur der Atmosphäre	atmospheric structure
Auffangbecken	catchment
Aufforstung	afforestation ; tree planting ; afforestment
Aufhebung von Schadwirkungen	impact reversal
Auflösen ; Lösung	dissolution
Auflösung	resolution ; resolution (parameter)
Aufschüttung	raising a site
Aufsichtsbehörde	controlling authority
Aufstieg ; Anstieg	ascent
Auftrag	assignment
Aufwuchs	periphyton
Aufzucht ; Erziehung	upbringing
Auge	eye
Augenbraue	eyebrow
Augengläser ; Brille	glasses ; spectacles
Augenheilkunde	ophthalmology
August	August
Ausbeutung des Ozeans	ocean exploitation
Ausbildung ; Schulung	training
Ausbildungsstätte	training centre
Ausbreitungsrechnung	dispersion calculation
Ausbreitungsvorgang	propagation process
Ausflockung	flocculation
Ausfluß	effluent
Ausfuhr	export
Ausfuhr gefährlicher Chemikalien ; Ausfuhr von gefährlichen Chemikalien	hazardous chemical export
Ausfuhrgenehmigung	export licence
Ausführungsgesetz	implementation law
Ausgabe	expenditure
Ausgleichsabgabe	compensatory tax
Ausgrabungsort	excavation site
Ausnahme	exception
Auspuffanlage	exhaust device
Ausrüstung ; Ausstattung ; Geräte	equipment
Aussenbereich	outer space (allocation plan) ; outer space
Aussprache	pronunciation
Ausstellungsstück	exhibit
Aussterben	extinction (ecological) ; extinction
Auster	oyster
Austernzucht	oyster farming
Australien	Australia ; Commonwealth of Australia
Austrocknung	drying out
Auswaschung	leaching
Auswertungsverfahren	interpretation method
Auswirkung der Verunreinigung	pollution effect
Auto ; Automobil ; Wagen	car ; automobile
Autobahn	motorway ; pike ; expressway ; freeway ; state highway ; superhighway ; throughway ; thruway
Autokratie	autocracy
Automobilindustrie ; Autoindustrie	automobile industry
Automobilindustrie ; Kfz-Industrie	motor vehicle industry
Autopsie	autopsy
Autoreifen	car tyre
Autorschaft	authorship
Autoökologie	autoecology
Außenhandel	foreign trade
Außenpolitik	foreign policy
Außenwirtschaftsbeziehungen	foreign economic relations
Avifauna	avifauna
Axiom	axiom
Azoren	Azores
BAT-Wert	permissible exposure limit
BBS ; Mailbox	BBS ; bulletin board system
Bach	brook
Bach	creek
Backpulver	baking powder
Badeanstalt	public bath
Badegewässer	bathing water
Badegewässer ; Badesee	bathing freshwater
Badegewässer ; Badestrand	bathing seawater
Bademeister	lifeguard
Badminton	badminton
Baggerarbeit	dredging
Baggergut	dredged material
Baggerloch ; Grube	excavated hole
Bahamas	Bahamas ; Commonwealth of the Bahamas ; Bahama Islands
Bahrain	Bahrain
Bakterien	bacterium
Bakteriologie	bacteriology
Bakterizid	bactericide
Balearische Inseln ; Balearen	Balearic Islands
Ballade	ballad
Ballungsgebiet	conurbation
Banane	banana
Bangladesch	Bangladesh ; People's Republic of Bangladesh
Bankrott ; Pleite ; Konkurs ; Zahlungsunfähigkeit ; Insolvenz ; Falliment	bankruptcy
Bankwesen	banking
Barbados	Barbados
Barium	barium
Barometer	barometer
Baron	baron
Barriereriff	barrier reef
Base	base
Baseball	baseball ; baseball game
Basidiomyceten	basidiomycete
Basizität	basicity
Basketball	basketball ; basketball game
Baskisch	Basque ; Basque
Batterie	battery
Batterieentsorgung	battery disposal
Batteriezelle ; galvanische Zelle ; galvanisches Element	cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο
Bauarbeit	construction work
Baubiologie	environmental sustainable architecture
Bauchnabel ; Nabel	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
Baudenkmal	historical monument
Bauelemente	building component
Bauernhof	farm
Bauernhof	farm building
Baugebiet	building area
Baugenehmigung	building permit
Bauland	building land
Baulanderschließung ; Erschließung	building site preparation
Bauleitplanung	building planning
Baulärm	construction noise
Baum	tree
Baumaschine	construction equipment
Baumwolle	cotton
Baumzucht	arboriculture
Baupolitik	construction policy
Bauschutt	building waste
Baustelle	building site
Baustoff	building material
Baustoffindustrie	building materials industry
Bautechnik	building technology
Bautechnik	civil engineering
Bautechnik	construction technology
Bauvorschrift	building regulation
Bauwerk	built structure
Bauwirtschaft ; Bauindustrie	building industry
Bayern	Bavaria
Bebauungsplan	allocation plan
Bedarf	need
Bedecktsamer ; Blütenpflanzen	angiosperm ; flowering plant
Beerdigung ; Begräbnis ; Beisetzung ; Bestattung ; Begängnis ; Leichenbegängnis	funeral
Befruchtung	fertilisation ; fecundation
Beförderungsart	mode of transportation
Begasung	fumigation
Begleitschein	dispatch note
Begrenzungsmaßnahme	mitigation measure
Behinderter	disabled person
Behälter	container
Behörde	authority body
Beifang	by-catch
Beihilfepolitik	aid policy
Bein	leg
Beizen	etching
Beizerei	pickling plant
Bekleidung	clothing ; apparel
Bekleidungsindustrie	clothing industry
Bekämpfung der Verschmutzung ; Reduzierung der Umweltverschmutzung	pollution abatement
Belastbarkeit	load bearing capacity
Belastungsgebiet	area under stress
Belebtschlamm	activated sludge
Beleuchtung	lighting
Belgien	Belgium ; Kingdom of Belgium
Belgrad	Belgrade
Belize	Belize
Belmopan	Belmopan
Belüftung	aeration
Bengali	Bengali ; Bengali
Benin ; Benin	Benin ; Benin ; Republic of Benin
Benthos	benthos
Benzin	petrol
Benzinbleigesetz	lead-in-petrol law
Benzol ; Benzen	benzene
Benzpyren	benzopyrene
Beobachtung	observation
Beobachtungssatellit	observation satellite
Bepflanzung	planting
Beratung	consultation
Beratungsdienst	consultancy
Berechnung	calculation
Berechnungsverfahren	calculation method
Berg	mountain
Bergbauabfall	mining waste
Bergbaufolgelandschaft	landscape after mining
Bergbaugebiet	mining district
Bergbauindustrie	mining industry
Bergkarabach	Nagorno-Karabakh
Bergklima	mountain climate
Bergland	mountainous area
Bergrecht	mining law
Bergschutz	mountain protection
Bergverordnung	mining regulation
Bergwald	mountain forest
Bergwerk ; Mine	mine
Bergwirtschaft	mountain management
Bericht an den Minister	report to the minister
Berkelium	berkelium
Berlin	Berlin
Bermuda-Inseln	Bermuda
Bern	Berne
Bernstein	amber
Berufskrankheit	occupational disease
Beryllium	beryllium ; glucinium
Beschichtung ; Verschalung	coating
Beschleunigung	acceleration
Beschneiden	pruning
Beschwerdeverfahren	appeal procedure
Beschäftigung	employment
Beschäftigungseffekt	employment level effect
Beschäftigungsstruktur	employment structure
Besiedelung ; Besiedlung	colonisation
Besitz	possession
Besitzer ; Besitzer ; Eigentümer	owner
Bestandteil der Atmosphäre	atmospheric component
Besteigung ; Aufstieg	ascent
Bestimmungsmethode	determination method
Bestrahlung	irradiation
Bestrebung	aspiration
Betastrahlung ; β-Strahlung	beta radiation
Betlehem	Bethlehem
Beton	concrete
Betonsteinindustrie	concrete products industry
Betrieb ; Betriebe ; Firma ; Unternehmen	firm ; corporation ; enterprise ; company ; venture
Betriebsdaten	operating data
Betriebsgebäude	industrial building
Betriebsgesundheitsvorsorge	occupational health care
Betriebsschliessung ; Betriebsschließung	closing down of firm
Betriebswasser	process water
Betriebswirtschaft	business economics
Betrug	fraud
Bett	bed
Beuteltiere	marsupial
Bevölkerung	human population
Bevölkerungsaufbau	composition of population
Bevölkerungsbewegung	population movement
Bevölkerungsdichte	population density
Bevölkerungsentwicklung ; demographische Entwicklung	population trend
Bevölkerungsmigration	human migration
Bevölkerungsstruktur	population structure
Bevölkerungswachstum	population growth
Bewaffnung ; Rüstung	armament
Beweidung	grazing
Beweissicherung	preservation of evidence
Bewerbung ; Bewertung	appraisal
Bewertung	evaluation
Bewertung von Naturerben	natural heritage assessment
Bewertungskriterium	evaluation criterion
Bewertungsverfahren	evaluation method
Bewirtschaftungsvertrag	management contract
Bewohner	inhabitant
Bewässerung	irrigation
Bewässerungsanlage	irrigation system
Bewässerungslandbau	irrigation farming
Bhutan	Bhutan ; Kingdom of Bhutan
Biber	beaver
Bibliographie ; Bibliografie	bibliography
Bibliothek	library
Bibliothekar	librarian
Bibliotheksdienst	library service
Biene	bee
Bienenkorb	beehive
Bienenschutz	bee conservation
Bienenzucht	apiculture ; beekeeping
Bier ; Gerstensaft	beer
Bilanz	balance
Bildhauer	sculptor
Bildklassifikation	image classification
Bildung	education
Bildungsanstalt	educational institution
Bildungsplanung	educational planning
Bildungspolitik	education policy
Bildungsstand	level of education
Bildungsweg	educational path
Bildungswesen	educational system
Bildverbesserung	image enhancement
Bildüberlagerung	image registration
Bilgenwasser	bilge water
Bilgenöl	bilge oil
Billigflaggen	flag of convenience
Billigung	homologation
Billigung ; Genehmigung ; Zustimmung	approval ; approbation
Binnenfischerei	inland fishery
Binnengewässer	inland water
Binnengüterschiffahrt	inland waterways transport
Binnenhandel	domestic trade
Binnenschiffahrt	inland navigation
Binnenwanderung	internal migration
Bioakkumulation	bioaccumulation
Biochemie	biochemistry
Bioethik	bioethics
Biogas	biogas
Biogeographie	biogeography
Bioindikator	biological indicator
Bioklimatologie	bioclimatology
Biokonzentrationsfaktor	bioconcentration factor
Biokraftstoff	biofuel
Biologie	biology ; biological science
Biolumineszenz	bioluminescence
Biom	biome
Biomarker	biomarker
Biomasse	biomass
Biomonitoring ; biologische Überwachung	biological monitoring
Biophysik	biophysics
Bioreaktor	bioreactor
Biorhythmus	biorhythm
Biosicherheit	biosafety
Biosphäre	biosphere
Biosphärenreservat	biosphere reserve
Biosynthese	biosynthesis
Biotechnik	biological engineering
Biotechnologie	biotechnology
Biotest	biological test
Biotop	biotope
Biotopordnung	biotope order
Biotopschutz	biotope protection
Biotopverlust	loss of biotope
Biotopvernetzung	biotope network
Bioverfügbarkeit	bio-availability
Biowissenschaften	life science
Biozid	biocide
Biozönose	biocoenosis
Birmanisch ; Burmesisch	Burmese
Birmingham	Birmingham
Birne	pear
Bischof	bishop
Bitumen	bitumen
Blase ; Bulla	blister
Blatt	leaf
Blattgemüse	green vegetable
Blattgrün ; Chlorophyll	chlorophyll
Blaualgen	blue-green alga ; cyanobacteria
Blei	lead
Bleicherde	bleaching clay
Bleichmittel	bleaching agent
Bleichverfahren	bleaching process
Bleistift	pencil
Bleiverbindung	lead compound
Blockflöte	recorder
Blockheizkraftwerk	district heating plant
Blog ; Weblog	blog ; weblog ; web log
Blume ; Blüte	flower ; bloom ; blossom
Blumenkohl ; Karfiol g ; Karfiol ; Käsekohl ; Blütenkohl ; Traubenkohl ; Italienischer Kohl	cauliflower
Blumenzwiebelkultur	bulb cultivation
Blut	blood
Blutbleispiegel	lead level in blood
Blutplasma	blood plasma
Blutung	haemorrhage ; bleeding
Blütenpflanzen	flowering plant
Boden	soil
Boden ; Speicher ; Dachboden	attic
Bodendenkmal	archaeological site
Bodenfruchtbarkeit	soil fertility
Bodengestaltung	land forming
Bodenkunde	soil science
Bodensanierung	land restoration
Bodensanierung in Bergregionen	land restoration in mountain areas
Bodenschätze	mineral resource
Bodenverunreinigung	land pollution
Bodenwert	land value
Bodenökologie	land ecology
Bogen	bow
Bogenschütze	archer ; archer
Bohne	bean ; edible bean
Bohranlage	drilling installation
Bohrium	bohrium
Bohrung	drilling
Bokmål	Bokmål
Bolivien	Bolivia ; Republic of Bolivia
Bonn	Bonn
Bonsai	bonsai
Boot	boat
Bootes ; Bärenhüter	Boötes
Bootsfahrt ; Bootfahren	boating
Bor	boron
Boskett	bocage
Bosnien und Herzegowina	Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina
Bosnisch	Bosnian ; Bosnian
Botanik	botany
Botanik ; Pflanzenkunde	botany ; phytology
Botschaft	embassy ; diplomatic mission
Botschafter	ambassador
Botsuana	Botswana ; Republic of Botswana
Bouvetinsel	Bouvet Island
Brachfläche ; Brachland	fallow area
Brackwasser	brackish water
Brand	fire
Brandmeister ; Brandmeisterin ; Feuerwehrfrau ; Feuerwehrleute ; Feuerwehrmann ; Feuerwehrmann	firefighter ; fireman ; firewoman ; fire fighter ; fire-eater
Brandschutz	fire protection
Brandschutzauflage	fire safety requirement
Brandschutzmittel	fireproofing agent
Brandstifter	arsonist
Brandstiftung	arson
Brandvorbeugung	fire precaution
Brasilien	Brazil
Braunkohle	lignite
Braunkohlenbergbau	lignite mining
Breitengrad ; geografische Breite	latitude
Brennbarkeit	combustibility
Brennelement	nuclear fuel element
Brennholz	fuel wood
Brennstoff	fuel
Brennstoff aus Müll	refuse derived fuel
Brennstoffentschwefelung	desulphurisation of fuel
Brennstoffzelle	fuel cell
Brennstoffzusammensetzung	fuel composition
Bretonisch	Breton ; Breton
Briefträger ; Briefzusteller ; Postbote	postman
Britisches Territorium im Indischen Ozean	British Indian Ocean Territory ; BIOT
Broccoli	broccoli
Brom	bromine
Brot	bread
Brunei	Brunei ; Negara Brunei Darussalam
Brunnen	well
Bruttoinlandsprodukt	GDP ; gross domestic product
Bruttosozialprodukt	gross national product
Brutvogel	breeding bird
Bryophyten	bryophyte
Brücke	bridge
Brüssel	Brussels
Brüten	brooding
Bub ; Bursche ; Junge ; Jüngling ; Jüngling ; Knabe	boy
Buch	book
Buchführung	accountancy
Buchführung	accounting
Buchhaltung	bookkeeping
Buchstabe	letter
Bucht	bay
Budget	budget
Bukarest	Bucharest
Bulgare ; Bulgare ; Bulgarin	Bulgarian
Bulgarien	Bulgaria ; Republic of Bulgaria
Bulgarisch	Bulgarian ; Bulgarian
Bulle ; Stier	bull
Bundesbehörde	federal authority
Bundesrecht	federal law
Bundesregierung	federal government
Burgund	Bourgogne
Burkina Faso	Burkina Faso
Burundi	Burundi ; Republic of Burundi
Busbahnhof	bus station
Buschlichtung	bush clearing
Bussgeld ; Bußgeld	fine
Butter	butter
Bäcker	baker
Bäckerei	baker ; bakery
Bär	bear
Böschung	excavation side
Bühne	stage
Bürger ; Staatsangehöriger ; Staatsbürger	citizen
Bürgerbeteiligung	public participation
Bürgerbewußtstein	citizen awareness
Bürgerinitiative	citizen initiative
Bürgerinitiative ; Aktionskomitee	action group ; action committee
Bürgermeister	mayor
Bürgerrechte	citizen rights
Büro ; Kontor	office
Bürokratie	bureaucracy
Bürokratisierung	bureaucratisation
Bürostudie	desk study
CD-ROM	CD-ROM
CD-ROM Suchdienst	CD-ROM search service
CO2-Abgabe	carbon dioxide tax
Cadmium	cadmium
Calcium ; Kalzium	calcium
Calciumgehalt	calcium content
Californium	californium
Camping ; Campingplatz ; Zeltplatz	camping ; camping ground
Campingplatz	camping site
Canidae ; Hunde	canid
Carbonat	carbonate
Carry-over	carry-over effect
Cassiopeia ; Kassiopeia	Cassiopeia
Cellulose ; Zellulose	cellulose
