# German-English dictionary created from English Wiktionary
# Created on: 2011-03-24T07:35:12+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
'''Rhombus'''	rhombus
Akupunktur	acupuncture
Al-Andalus	Al-Andalus
Al-Qaida	al-Qaeda
Alaska	Alaska
Alban	Alban
Albanien	Albania
Albanier	Albanian
Albanisch	Albanian
Albatros	albatross
Albert	Albert
Albin	Albin
Albtraum	nightmare
Alchemist	alchemist
Ale	ale
Alexander	Alexander
Alfons	Alphonse
Alfred	Alfred
Algebra	algebra
Algen	seaweed
Algerien	Algeria
Algerier	Algerian
Algier	Algiers
Algorithmus	algorithm
Alibi	alibi
Alice	Alice
Alkohol	alcohol
Alkoholiker	alcoholic
Allah	Allah
Allativ	allative case
Alle Wege führen nach Rom	all roads lead to Rome
Allee	alley
Allee	avenue
Alligator	alligator
Alpaka	alpaca
Alpen	Alps
Alpendohle	alpine chough
Alphabet	alphabet
Altar	altar
Alter	age
Altkirchenslawisch	Old Church Slavonic
Altkirchenslawisch	Old Slavonic
Altsteinzeit	Paleolithic
Altsteinzeit	palaeolithic
Aluminium	aluminium
Aluminium	aluminum
Alzheimer-Krankheit	Alzheimer's disease
Amarant	amaranth
Ambigramm	ambigram
Ambrosia	ambrosia
Ameise	ant
Ameisenhaufen	anthill
American Football	football
Americium	americium
Amerika	America
Amerikaner	American
Amerikanisch-Samoa	American Samoa
Amethyst	amethyst
Amharisch	Amharic
Aminosäure	amino acid
Amor	Cupid
Amphibie	amphibian
Amsel	blackbird
Amsterdam	Amsterdam
Amt	office
Amüsement	amusement
Anagramm	anagram
Analogie	analogy
Analyse	analysis
Analysis	analysis
Analytiker	analyst
Ananas	pineapple
Anarchie	anarchy
Anarchismus	anarchism
Anatomie	anatomy
Anblick	view
Andalusien	Andalusia
Andersartigkeit	difference
Andorra	Andorra
Andreas	Andrew
Anforderung	requirement
Anführer	leader
Anführungszeichen	quotation mark
Angeklagter	defendant
Angelpunkt	fulcrum
Angelrute	fishing rod
Angestellter	employee
Angola	Angola
Angriff	attack
Angst	fear
Angsthase	coward
Anhang	appendix
Anis	anise
Ankara	Ankara
Anker	anchor
Ankunft	arrival
Anlegestelle	jetty
Anna	Ann
Anpassung	adjustment
Anruf	call
Ansehen	reputation
Ansteckung	contagion
Antarktis	Antarctica
Anteil	share
Antenne	antenna
Anthropologie	anthropology
Antichrist	antichrist
Antigua und Barbuda	Antigua and Barbuda
Antilope	antelope
Antimon	antimony
Anton	Anthony
Antonym	antonym
Antwort	answer
Anus	anus
Anwesen	property
Anwesenheit	presence
Anzahl	number
Anzeige	advertisement
Anzug	suit
Apatit	apatite
Apfel	apple
Apfelbaum	apple tree
Apfelholz	apple
Apfelkuchen	apple pie
Apfelsine	orange
Apfelsinenbaum	orange
Aphorismus	aphorism
Apokalypse	Apocalypse
Apokalypse	apocalypse
Apostel	apostle
Apostroph	apostrophe
Apotheke	pharmacy
Apotheke	apothecary
Apotheker	apothecary
Aprikose	apricot
April	April
Apuleius	Apuleius
Aquamarin	cyan
Araber	Arab
Arabisch	Arabic
Arbeit	job
Arbeiter	worker
Arbeitslosigkeit	unemployment
Archangelsk	Arkhangelsk
Archipel (Arkhipel)	archipelago
Architekt	architect
Architektur	architecture
Archiv	archive
Archäologie	archaeology
Ares	Ares
Argentinien	Argentina
Argentinier	Argentinian
Arginin	arginine
Argon	argon
Argument	argument
Arithmetik	arithmetic
Arm	arm
Armbrust	crossbow
Armee	army
Armenien	Armenia
Armenier	Armenian
Armenisch	Armenian
Armenische SSR	Armenian SSR
Armut	poverty
Arroganz	arrogance
Arsch	ass
Arschloch	asshole
Arsen	arsenic
Art	species
Art	sort
Art und Weise	method
Arterie	artery
Arthur	Arthur
Artikel	article
Artischocke	artichoke
Aruba	Aruba
Arznei	medicine
Arzt	doctor
Arzt	physician
As	ace
Asche	ash
Aschenbecher	ashtray
Aschenputtel	Cinderella
Aserbaidschan	Azerbaijan
Aserbaidschaner	Azeri
Aserbaidschanisch	Azeri
Aserbaidschanische SSR	Azerbaijan SSR
Asien	Asia
Aspekt	aspect
Asphalt	pavement
Aspirin	aspirin
Ass	ace
Ast	branch
Astat	astatine
Asteroid	asteroid
Astronaut	astronaut
Astronomie	astronomy
Asyl	asylum
Atheismus	atheism
Atheist	atheist
Athen	Athens
Athene	Athena
Atlantis	Atlantis
Atmosphäre	atmosphere
Atom	atom
Atombombe	atomic bomb
Atombombe	A-bomb
Atombombe	atom bomb
Atombombe	Template:A-bomb/Translations
Atomkern	atomic nucleus
Aubergine	aubergine
Auerhuhn	capercaillie
Aufblasen	inflation
Aufsatz	essay
Aufständischer	insurgent
Auge	eye
Augenblick	moment
Augenbraue	eyebrow
Augenlid	eyelid
August	August
Augustus	Augustus
Ausbildung	training
Ausdruck	expression
Ausgabe	edition
Ausländer	foreigner
Ausmaß	degree
Ausscheidungen	excrement
Aussehen	look
Aussprache	pronunciation
Aussterben	extinction
Auster	oyster
Australien	Australia
Australier	Australian
Ausweg	exit
Auszug	abstract
Autismus	autism
Auto	car
Autobahn	highway
Autobiografie	autobiography
Autonomie	autonomy
Autorität	authority
Außen-	external
Außerirdischer	alien
Avocado	avocado
Axt	axe
Aymara	Aymara
Ayyavazhi	Ayyavazhi
Azetat	acetate
BIP	GDP
Baby	baby
Babysitter	babysitter
Bach	stream
Bach	brook
Backenzahn	molar
Backstein	brick
Bad	bath
Badeanzug	swimsuit
Baden	bath
Badewanne	bath
Badezimmer	bathroom
Bagdad	Baghdad
Bagel	bagel
Bahamas	Bahamas
Bahnsteig	platform
Bahrain	Bahrain
Bajonett	bayonet
Baklava	baklava
Bakterien	bacteria
Bakterium	bacterium
Baktrien	Bactria
Balalaika	balalaika
Balance	balance
Balearische Inseln	Balearic Islands
Bali	Bali
Balken	beam
Balkon	balcony
Ball	ball
Ballon	balloon
Bambus	bamboo
Banane	banana
Bananenstaude	banana
Band	tape
Band	band
Band	volume
Bandy	bandy
Bangladesch	Bangladesh
Banjo	banjo
Bank	bank
Bank	bench
Bankrott	bankruptcy
Banner	banner
Bar	bar
Barbados	Barbados
Bargeld	cash
Bargeld	money
Barium	barium
Baron	baron
Barren	ingot
Barsch	perch
Bart	beard
Basar	bazaar
Base	base
Baseball	baseball
Basilikum	basil
Basis	base
Baske	Basque
Baskenmütze	beret
Basketball	basketball
Baskisch	Basque
Bastard	bastard
Batterie	battery
Bau	building
Bauch	abdomen
Bauch	belly
Bauch	stomach
Bauchnabel	navel
Bauchspeicheldrüse	pancreas
Bauer	farmer
Bauer	pawn
Bauernhof	farm
Baum	tree
Baumstamm	tree trunk
Baumwolle	cotton
Bayern	Bavaria
Beachvolleyball	beach volleyball
Becher	mug
Becken	cymbal
Bedeutung	significance
Bedingung	condition
Beerdigung	funeral
Beere	berry
Beet	bed
Beförderung	transportation
Begabung	gift
Begehren	desire
Begeisterung	enthusiasm
Beginn	beginning
Begriff	term
Beharrlichkeit	perseverance
Behauptung	statement
Beifuß	wormwood
Beifuß	mugwort
Bein	leg
Beirut	Beirut
Beisetzung	funeral
Beispiel	example
Belagerung	siege
Belarusse	Belarusian
Belgien	Belgium
Belgier	Belgian
Belgrad	Belgrade
Belize	Belize
Bellen	bark
Belohnung	reward
Bemerkung	remark
Bengali	Bengali
Bengel	club
Benin	Benin
Benutzer	user
Benutzung	use
Benzedrin	amphetamine
Benzin	gasoline
Benzin	petrol
Benzin	gas
Berg	mountain
Bergmann	miner
Bericht	report
Beringmeer	Bering Sea
Berkelium	berkelium
Berlin	Berlin
Bermudas	Bermuda
Bernstein	amber
Bernsteingelb	amber
Beruf	profession
Beryllium	beryllium
Bescheidenheit	humility
Beschichtung	coat
Beschleunigung	acceleration
Beschneidung	circumcision
Beschreibung	description
Beschäftigung	occupation
Besen	broom
Besenheide	heather
Besessenheit	obsession
Besitzer	owner
Bestechung	bribery
Bestellung	order
Besuch	visit
Bete	beet
Betlehem	Bethlehem
Beton	concrete
Betrieb	operation
Betriebssystem	operating system
Bett	bed
Beugung	declension
Beulenpest	Black Death
Beutel	pouch
Beutelratte	opossum
Beuteltier	marsupial
Bevölkerung	population
Bewegung	motion
Bewegung	exercise
Beweis	proof
Bewunderung	admiration
Bewusstsein	consciousness
Bezahlung	payment
Bezirk	district
Bhutan	Bhutan
Biathlon	biathlon
Bibel	Bible
Biber	beaver
Bibliothek	library
Bidet	bidet
Biene	bee
Bienenstock	beehive
Bienenwachs	beeswax
Bier	beer
Biest	beast
Bikini	bikini
Bilch	dormouse
Bild	picture
Bild	image
Billion	trillion
Billion	billion
Bindestrich	hyphen
Bindfäden regnen	rain cats and dogs
Biochemie	biochemistry
Biografie	biography
Biologie	biology
Birke	birch
Birkhuhn	black grouse
Birnbaum	pear
Birne	pear
Bisamratte	muskrat
Bischof	bishop
Bison	buffalo
Bit	bit
Bitola	Monastir
Bitte	request
Bißchen	bit
Blase	bladder
Blatt	leaf
Blatt	sheet
Blau	blue
Blaubeere	blueberry
Blaumeise	blue tit
Blauwal	blue whale
Blei	lead
Blei	lead/experiment2
Blei	lead/experiment
Blickwinkel	angle
Blinddarm	appendix
Blinddarmentzündung	appendicitis
Blindheit	blindness
Blitz	lightning
Block	bar
Blog	blog
Blume	flower
Blumenkohl	cauliflower
Blumenstrauß	bouquet
Blumentopf	flowerpot
Bluse	blouse
Blut	blood
Blutegel	leech
Blutgruppe	blood type
Bluthochdruck	hypertension
Blutschande	incest
Blutsverwandtschaft	consanguinity
Blutung	haemorrhage
Blutung	hemorrhage
Blödsinn	nonsense
Blütenstaub	pollen
Boden	floor
Boden	bed
Boden	soil
Bodybuilder	bodybuilder
Bodybuilding	bodybuilding
Bogen	bow
Bogen	arc
Bogenschießen	archery
Bogenschütze	archer
Bogota, Bogotá	Bogota
Bohne	bean
Bohrium	bohrium
Bolivien	Bolivia
Bologna	Bologna
Bombe	bomb
Boot	boat
Bor	boron
Bordell	brothel
Bosnien	Bosnia
Bosnien und Herzegowina	Bosnia and Herzegovina
Botsuana	Botswana
Bottnischer Meerbusen	Gulf of Bothnia
Bovine Spongiforme Enzephalopathie	bovine spongiform encephalopathy
Brandstiftung	arson
Brandwunde	burn
Brasilianer	Brazilian
Brasilien	Brazil
Brasilien	Brasil
Brauner Zwerg	brown dwarf
Braut	bride
Bremse	brake
Brennstoff	fuel
Bretagne	Brittany
Bretone	Breton
Bretonisch	Breton
Brett	shelf
Brett	board
Bridge	bridge
Brief	letter
Briefmarke	postage stamp
Briefumschlag	envelope
Brille	spectacles
Brise	breeze
Brite	Briton
Brom	bromine
Brombeere	blackberry
Bronze	bronze
Bronzezeit	Bronze Age
Brosche	brooch
Broschüre	brochure
Brot	bread
Bruch	hernia
Bruder	brother
Brunei Darussalam	Brunei
Brunnen	well
Brunnen	fountain
Brust	breast
Brust	chest
Brustwarze	teat
Bruttoinlandsprodukt	gross domestic product
Bräutigam	bridegroom
Bräutigam	groom
Brücke	bridge
Brühe	broth
Brüssel	Brussels
Bube	jack
Buch	book
Buche	beech
Buchfink	chaffinch
Buchhandlung	bookshop
Buchhandlung	bookstore
Buchstabe	letter
Buchstabe	character
Buchweizen	buckwheat
Buckel	hump
Buddha	Buddha
Buddhismus	Buddhism
Bug	bow
Bulgare	Bulgarian
Bulgarien	Bulgaria
Bulgarisch	Bulgarian
Bulldogge	bulldog
Bulle	bull
Bumerang	boomerang
Buntspecht	great spotted woodpecker
Burg	castle
Burgund	Burgundy
Burka	burka
Burkina Faso	Burkina Faso
Burundi	Burundi
Bus	bus
Bussard	buzzard
Butter	butter
Buttermilch	buttermilk
Bußgeld	fine
Byte	byte
Byzantinisches Reich	Byzantine Empire
Bäcker	baker
Bäckerei	bakery
Bär	bear
Böhmen	Bohemia
Böse	evil
Büchse	tin
Büffel	buffalo
Bügeleisen	iron
Bühne	stage
Bündel	bundle
Bürgerkrieg	civil war
Bürgermeister	mayor
Bürgersteig	pavement
Büro	office
Bürokratie	bureaucracy
Bürste	brush
Büstenhalter	bra
Café	café
Californium	californium
Cannabis	cannabis
Carboxyl-	carboxylic
Carboxylsäure	carboxylic acid
Cedille	cedilla
Cent	cent
Cer	cerium
Chalcedon	chalcedony
Chanukka	Hanukkah
Chaosforschung	chaos theory
Charakter	character
Cheddar (Käse)	Cheddar cheese
Chef	boss
Chemiker	chemist
Chennai	Chennai
Cheops-Pyramide	Great Pyramid of Giza
Chile	Chile
China	China
Chinese	Chinese
Chinesisch	Chinese
Chirurg	surgeon
Chlor	chlorine
Chlorophyll	chlorophyll
Chor	choir
Chor	chorus
Christ	Christian
Christentum	Christianity
Christoph	Christopher
Chrom	chromium
Chromosom	chromosome
Chruschtschow	Khrushchev
Cleaver	cleaver
Clown	clown
Coca-Cola	Coca-Cola
Cocastrauch	coca
Cocktail	cocktail
Cola	cola
Collage	collage
Computer	computer
Computerspiele	computer game
Cookinseln	Cook Islands
Costa Rica	Costa Rica
Courage	courage
Cousin	cousin
Cricket	cricket
Croissant	croissant
Curium	curium
Cymbal	dulcimer
Cäsium	caesium
DNS	DNA
Dach	roof
Dachgeschoss	attic
Dachs	badger
Dackel	dachshund
Damaskus	Damascus
Dame	queen
Dame	lady
Damhirsch	fallow deer
Damm	dam
Dampf	vapor
Dampf	vapour
Dampf	water vapor
Dampfmaschine	steam engine
Daniel	Daniel
Dankbarkeit	gratitude
Darm	intestine
Darmstadtium	darmstadtium
Darstellung	narrative
Datei	file
Datenstruktur	data structure
Dativ	dative case
Dativ	dative
Dattel	date
Datum	date
Daumen	thumb
David	David
Debatte	debate
Decke	blanket
Decke	ceiling
Deckel	cover
Deckel	lid
Defätismus	defeatism
Deismus	deism
Delirium	delirium
Delphin	dolphin
Demokratie	democracy
Demokrit	Democritus
Den Haag	The Hague
Depression	depression
Der frühe Vogel fängt den Wurm	the early bird gets the worm
Derwisch	Dervish
Design	design
Desoxyribonukleinsäure	deoxyribonucleic acid
Deuterium	deuterium
Deutsch	German
Deutscher	German
Deutscher Orden	Teutonic Knights
Deutschland	Germany
Dezember	December
Dezimeter	decimetre
Dialekt	dialect
Dialektologie	dialectology
Dialog	dialogue
Diamant	diamond
Dichte	density
Dichtung	poem
Die Glücksbärchis	Care Bears
Die Kirschen aus Nachbars Garten schmecken immer besser	the grass is always greener on the other side
Dieb	thief
Diebstahl	theft
Dienst	service
Dienstag	Tuesday
Dienstmädchen	maid
Differentialgleichung	differential equation
Differenz	difference
Diktator	dictator
Dill	dill
Ding	thing
Diplom	degree
Dirigent	conductor
Diskette	diskette
Diskussion	discussion
Dissertation	thesis
Distanz	distance
Distel	thistle
Division	division
Dobra	dobra
Dodo	dodo
Dogge	mastiff
Dohle	jackdaw
Doktor	doctor
Dolch	dagger
Dollar	dollar
Dolmetscher	interpreter
Dominica	Dominica
Dominikanische Republik	Dominican Republic
Donau	Danube
Donner	thunder
Donnern	thunder
Donnerstag	Thursday
Doppelpunkt	colon
Dorf	village
Dorische	Doric
Dornröschen	Sleeping Beauty
Dose	can
Dotter	yolk
Download	download
Doxologie	doxology
Drache	dragon
Drachen	kite
Draht	wire
Drechselbank	lathe
Dreckskerl	louse
Drei	three
Dreieck	triangle
Dreiecksverhältnis	love triangle
Dreiheit	trinity
Dreirad	tricycle
Droge	drug
Drohn	drone
Dromedar	dromedary
Drossel	thrush
Druck	pressure
Drucker	printer
Drüse	gland
Dschalalabad	Jalalabad
Dschibuti	Djibouti
Dschihad	jihad
Dschin	genie
Dschungel	jungle
Dublin	Dublin
Dubrovnik	Dubrovnik
Duft	perfume
Duma	duma
Dunkel	dark
Dunkelheit	darkness
Dunkelheit	dark
Dunkelwerden	dark
Durchfall	shit
Durchfall	diarrhea
Durchmesser	diameter
Durchschnitt	average
Durchschnitt	intersection
Durst	thirst
Dusche	shower
Dutzend	dozen
Dynamik	dynamics
Dämmerung	dawn
Dämmerung	twilight
Däne	Dane
Dänemark	Denmark
Dänisch	Danish
Düne	dune
Dünger	dung
Dürre	drought
E-Mail	e-mail
Ebbe	ebb
Ebene	plane
Ebenholz	ebony
Eber	boar
Echidna	echidna
Ecke	corner
Ecke	angle
Ecuador	Ecuador
Eduard	Edward
Efendi	effendi
Efeu	ivy
Egge	harrow
Ehebruch	adultery
Ehefrau	wife
Ehemann	husband
Ehre	honor
Ehre	honour
Ehrenmal	cenotaph
Ehrenwort	word
Ehrlichkeit	honesty
Ei	egg
Ei	ball
Ei	nut
Eiche	oak
Eichel	acorn
Eichelhäher	jay
Eichhörnchen	squirrel
Eid	oath
Eidechse	lizard
Eigelb	egg yolk
Eigenname	proper noun
Eigenschaft	feature
Eigenschaft	property
Eigentum	property
Eigenwert	eigenvalue
Eimer	bucket
Ein Frohes Neues Jahr	Happy New Year
Einband	cover
Eingeweide	guts
Einheit	unit
Einhorn	unicorn
Einigkeit	agreement
Einkommen	income
Einkommensteuer	income tax
Einrad	unicycle
Eins	one
Einsamkeit	solitude
Einwand	objection
Einzahl	singular
Eis	ice
Eis	ice cream
Eisberg	iceberg
Eisbär	polar bear
Eisen	iron
Eisenbahn	railroad
Eisenzeit	Iron Age
Eishockey	ice hockey
Eishockeyscheibe	puck
Eiskunstlauf	figure skating
Eistaucher	great northern diver
Eistüte	ice cream
Eisvogel	kingfisher
Eiszapfen	icicle
Eiter	pus
Eiweiß	albumen
Ejakulation	ejaculation
Ekel	disgust
Ekzem	eczema
El Salvador	El Salvador
Elastizitätsmodul	Young's modulus
Elch	moose
Elch	elk
Elefant	elephant
Elektrizität	electricity
Elektromagnet	electromagnet
Elektromagnetismus	electromagnetism
Elektron	electron
Elf	elf
Elfenbein	ivory
Elfenbeinküste	Ivory Coast
Elisabeth	Elizabeth
Ellipse	ellipse
Elster	magpie
Eltern	parents
Elternteil	parent
Embryo	embryo
Emergenz	emergence
Emilie	Emily
Empfang	reception
Empfangsbestätigung	receipt
Emu	emu
Enantiomer	enantiomer
Ende	end
Ende	back
Ende	finish
Energie	energy
Engel	angel
England	England
Englisch	English
Englischhorn	cor anglais
Engländer	English
Engländer	Englishman
Enkel	grandson
Enkelin	granddaughter
Enkelkind	grandchild
Ente	duck
Enthaltung	abstention
Entropie	entropy
Entschuldigung	pardon me
Entschuldigung	excuse me
Entschuldigung	apology
Entwicklung	development
Enzephalopathie	encephalopathy
Enzyklopädie	encyclopedia
Epidemie	epidemic
Epiglottis	epiglottis
Epirus	Epirus
Epoche	epoch
Erbse	pea
Erdbeben	earthquake
Erdbeere	strawberry
Erde	Earth
Erde	earth
Erdferkel	aardvark
Erdgas	natural gas
Erdnuß	peanut
Erfindung	invention
Ergativ	ergative case
Erholung	recreation
Erich	Eric
Erinnerung	memory
Eritrea	Eritrea
Erkältung	cold
Erlaubnis	permission
Erle	alder
Erleichterung	relief
Erleuchtung	light
Ernst	Ernest
Ernährungs-	nutritional
Erste	first
Erster Weltkrieg	World War I
Erwachsener	adult
Erz	ore
Erzengel	archangel
Erzherzog	archduke
Erzählung	story
Eschatologie	eschatology
Esche	ash
Esel	donkey
Esel	ass
Esperanto	Esperanto
Essbesteck	cutlery
Essig	vinegar
Esslöffel	tablespoon
Essstäbchen	chopstick
Esszimmer	dining room
Este	Estonian
Ester	Esther
Estland	Estonia
Estnisch	Estonian
Et-Zeichen	ampersand
Etage	floor
Etikett	tag
Etikett	label
Etymologie	etymology
Eukalyptus	eucalyptus
Eukaryote	eukaryote
Eule	owl
Eunuch	eunuch
Euripides	Euripides
Euro	euro
Europa	Europe
Europäer	European
Europäische	EU
Europäische Union	European Union
Europäische Zentralbank	European Central Bank
Euter	udder
Evakuierung	evacuation
Evangelium	gospel
Evolution	evolution
Examen	test
Existenz	existence
Exkommunikation	excommunication
Exodus	Exodus
Experiment	experiment
Fabel	fable
Fabrik	plant
Fabrik	factory
Fabrikat	make
Fach	subject
Faden	thread
Fagott	bassoon
Fahrer	driver
Fahrpreis	fare
Fahrrad	bicycle
Fahrrad	bike
Fahrzeug	vehicle
Faktum	fact
Fakultät	factorial
Falke	falcon
Falke	kestrel
Falklandinseln	Falkland Islands
Fall	fall
Fall	case
Fallschirm	parachute
Falte	wrinkle
Familie	people
Fan	fan
Farbe	paint
Farbe	Template:color-colour (noun)
Farbstoff	lake
Farbstoff	pigment
Farbton	tone
Fasan	pheasant
Faschismus	fascism
Fassade	façade
Fasten	fast
Fastenzeit	fast
Faultier	sloth
Faust	fist
Fax	fax
Februar	February
Fechten	fencing
Feder	feather
Fee	fairy
Fehler	mistake
Fehler	fault
Feiertag	holiday
Feige	fig
Feigenbaum	fig
Feigheit	cowardice
Feigling	chicken
Feile	file
Feind	enemy
Feind	foe
Feindseligkeit	hostility
Feld	field
Feldwebel	sergeant
Fellatio	fellatio
Fels	rock
Felsbrocken	rock
Felsentaube	rock dove
Feminismus	feminism
Fenchel	fennel
Fenster	window
Ferkel	piglet
Fermate	fermata
Fernglas	binoculars
Fernsehen	television
Fernseher	television
Ferse	heel
Festival	festival
Festkörper	solid
Festung	fortress
Fett	fat
Fett	grease
Feuchtigkeit	moisture
Feuer	fire
Feuersbrunst	conflagration
Feuerturm	lighthouse
Feuerwehrmann	firefighter
Feuerwehrmann	fireman
Feuerwerk	firework
Feuerzeug	lighter
Fiasko	fiasco
Fichte	spruce
Fick	fuck
Fidschi	Fiji
Fieber	fever
Film	movie
Film	cinema
Filmindustrie	cinema
Finger	finger
Finger	digit
Fingerabdruck	fingerprint
Fingerhut	thimble
Fingerknöchel	knuckle
Fingertier	aye-aye
Fink	finch
Finne	Finn
Finnisch	Finnish
Finnischer Meerbusen	Gulf of Finland
Finnland	Finland
Finsternis	eclipse
Fisch	fish
Fischadler	osprey
Fische	Pisces
Fischen	fishing
Fischer	fisher
Flachs	flax
Flagge	flag
Flamingo	flamingo
Flamme	flame
Flammenwerfer	flamethrower
Flandern	Flanders
Flasche	bottle
Flechte	lichen
Fleck	spot
Fledermaus	bat
Fleisch	flesh
Fleischfresser	carnivore
Flieder	lilac
Fliege	fly
Fliege	bowtie
Flinte	shotgun
Floh	flea
Flohspiel	tiddlywinks
Fluch	curse
Flug	flight
Flughafen	airport
Flugzeug	airplane
Flugzeug	aeroplane
Flugzeug	aircraft
Flugzeug	plane
Flugzeugträger	aircraft carrier
Fluor	fluorine
Fluss	river
Fluss	flow
Flusspferd	hippopotamus
Flut	flood
Flut	flow
Fläche	face
Flämisch	Flemish
Flöte	flute
Flüchtling	refugee
Flüssigkeit	liquid
Fohlen	foal
Fomalhaut	Fomalhaut
Forelle	trout
Form	shape
Form	figure
Formaldehyd	formaldehyde
Formel	formula
Fortgang	march
Fortschritt	progress
Foto	picture
Fotoapparat	camera
Fotografie	photograph
Fotze	cunt
Fotze	pussy
Fotze	twat
Fr	Mrs
Frage	question
Francium	francium
Frankreich	France
Franz	Francis
Französisch	French
Französisch-Guayana	French Guiana
Frau	woman
Frau	lady
Frauen	women
Freiheit	freedom
Freiheit	liberty
Freitag	Friday
Freitod	suicide
Fremder	alien
Fremdling	alien
Frequenz	frequency
Frettchen	ferret
Freude	joy
Freund	friend
Freund	boyfriend
Freunde	friends
Freundin	girlfriend
Freundschaft	friendship
Frieden	peace
Friese	Frisian
Friseur	barber
Frohe Weihnachten	Merry Christmas
Frohe Weihnachten und ein glückliches Neues Jahr	Merry Christmas and a Happy New Year!
Frosch	frog
Frucht	fruit
Fräulein	Miss
Fräulein	miss
Fröhlichkeit	happiness
Frühling	spring
Frühstück	breakfast
Fuchs	fox
Fundamentalismus	fundamentalism
Funk	radio
Funke	spark
Funktion	function
Funktionalität	functionality
Furche	furrow
Furt	ford
Furz	fart
Futter	fodder
Futur	future
Fuß	foot
Fußball	football
Fußball	soccer
Fußgänger	pedestrian
Fußsohle	sole
Fächer	fan
Fähigkeit	ability
Fähre	ferry
Fäkalien	faeces
Fäkalien	feces
Färbemittel	dye
Färöisch	Faroese
Fès	Fez
Föhre	pine
Fötus	fetus
Fötus	foetus
Fülle	plenty
Füllhalter	pen
Fünfeck	pentagon
Fürstin	princess
GUS	CIS
Gabel	fork
Gabelung	fork
Gabun	Gabon
Galaxie	galaxy
Galgen	gallows
Galizien	Galicia
Galizisch	Galician
Galle	bile
Gallium	gallium
Gambia	Gambia
Gams	chamois
Ganesha	Ganesha
Ganges	Ganges
Gans	goose
Garantie	guarantee
Garderobe	wardrobe
Garnele	shrimp
Garten	garden
Gas	gas
Gaskammer	gas chamber
Gast	guest
Gatling-Kanone	Gatling gun
Gatte	spouse
Gaucho	gaucho
Gaumen	palate
Gazelle	gazelle
Gebet	prayer
Gebiet	area
Gebieter	lord
Gebrauchsmuster	trademark
Geburt	birth
Geburtsdatum	birthday
Geburtstag	birthday
Gebärmutter	uterus
Gebäude	building
Gebühr	fee
Gedanke	thought
Gedicht	poem
Geduld	patience
Gedächtnis	memory
Gefallen	favor
Geflüster	whisper
Gefährte	companion
Gefängnis	prison
