# French-English dictionary created from OmegaWiki database
# Created on: 2011-03-22T11:10:01+01:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
ADN ; acide désoxyribonucléique	DNA ; deoxyribonucleic acid
Bahreïn	Bahrain
Bailliage de Jersey	Jersey ; Bailiwick of Jersey
Balance	Libra
Bande de Gaza	Gaza Strip
Bangladesh	Bangladesh ; People's Republic of Bangladesh
Barbade	Barbados
Basse-Saxe	Lower Saxony
Bavière	Bavaria
Belgique	Belgium ; Kingdom of Belgium
Belgrade	Belgrade
Belize ; Bélize	Belize
Belmopan	Belmopan
Berlin	Berlin
Bermudes	Bermuda
Berne	Berne
Bethléem	Bethlehem
Bhoutan	Bhutan ; Kingdom of Bhutan
Bible	Bible
Birmanie ; Myanmar	Myanmar
Birmingham	Birmingham
Bolivie	Bolivia ; Republic of Bolivia
Bonn	Bonn
Bornéo	Borneo ; Kalimantan
Bosnie-Herzégovine	Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina
Botswana	Botswana ; Republic of Botswana
Bourgogne	Bourgogne
Bouvier	Boötes
Bratislava	Bratislava
Brunei ; Brunéi Darussalam	Brunei ; Negara Brunei Darussalam
Bruxelles	Brussels
Brésil	Brazil
Bucarest	Bucharest
Bulgare	Bulgarian
Bulgarie	Bulgaria ; Republic of Bulgaria
Burkina Faso	Burkina Faso
Burundi	Burundi ; Republic of Burundi
Bélarus ; Belarus ; Biélorussie	Belarus ; Republic of Belarus
Bélier	Aries
Bénin ; Bénin	Benin ; Benin ; Republic of Benin
CD ROM	CD-ROM
CE écolabel	EC ecolabel
Californie	California
Cambodge	Cambodia ; Kingdom of Cambodia
Cameroun	Cameroon ; Republic of Cameroon
Canada	Canada
Cap-Vert	Cape Verde ; Republic of Cape Verde
Capricorne	Capricorn
Caraïbes	Caribbean Area ; Caribbean
Cassiopée	Cassiopeia
Chambre des Députés	Lower House
Charente	Charente
Chiens de chasse	Canes Venatici
Chihuahua	Chihuahua
Chili	Chile ; Republic of Chile
Chine	People's Republic of China ; China
Chypre	Cyprus ; Republic of Cyprus
Cologne	Cologne
Colombie	Colombia ; Republic of Colombia
Commission Européenne	European Commission
Communautés européennes	European Communities
Comores	Comoros ; Union of the Comoros
Comète ; comète	comet
Conseil de l'UE ; Conseil de l'Union Européenne	EU Council
Conseil des ministres de la CE ; Conseil des ministres de la Communauté Européenne	EC Council of Ministers
Conseil européen de l'environnement	European Environmental Council
Copenhague	Copenhagen
Corfou	Corfu
Corée du Nord	North Korea ; Democratic People's Republic of Korea
Corée du Sud	South Korea ; Republic of Korea
Costa Rica	Costa Rica ; Republic of Costa Rica
Cour de Justice Européenne	European Court of Justice
Cour de justice	court of justice
Cour de justice des communautés européennes	Court of Justice of the European Communities
Cour internationale de justice	International Court of Justice
Cracovie	Krakow ; Cracow
Croatie	Croatia ; Republic of Croatia
Cuba	Cuba ; Republic of Cuba
Côte d'Ivoire ; République de la Côte d'Ivoire	Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire
DDT	DDT ; dichloro-diphenyl-trichloroethane
Daguestan	Dagestan
Dakar	Dakar
Danemark	Denmark ; Kingdom of Denmark
Delaware	Delaware
Djibouti	Djibouti ; Republic of Djibouti
Dominique	Dominica ; Commonwealth of Dominica
Dublin	Dublin
EIE ; Evaluation de l'impact sur l'environnement	EIA (local)
EIE ; évaluation de l'impact sur l'environnement	EIA ; environmental impact assessment
Erevan	Erevan ; Yerevan
Espagne	Spain
Estonie	Estonia ; Republic of Estonia
Euratom	Euratom
Europe	Europe
Europe de l'Est	Eastern Europe
Europe de l'Ouest	Western Europe
Fidji ; République des Îles Fidji	Fiji ; Republic of the Fiji Islands
Finlande	Finland ; Republic of Finland
Flandre	Flanders ; Flemish region
Flevoland	Flevoland
Fonds mondial pour la protection de l'environnement	Global Environment Facility ; GEF
Fonds monétaire européen	European Monetary Fund
Fonds monétaire international ; FMI	IMF ; International Monetary Fund
France	France
Français	Frenchman
Gabon	Gabon ; Gabonese Republic
Gaborone	Gaborone
Gambie ; Gambie ; Gambie ; Gambie ; Gambie ; Gambie ; Gambie	Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia
Ghana	Ghana ; Republic of Ghana
Gibraltar	Gibraltar
Grand Chien	Canis Major
Grande-Bretagne	Great Britain ; Britain
Grenade	Grenada
Groenland	Greenland
Grèce	Greece ; Hellenic Republic
Guadeloupe	Guadeloupe
Guam	Guam ; Guam ; Guam
Guatemala ; Guatémala	Guatemala ; Republic of Guatemala
Guinée ; République de Guinée	Guinea ; Republic of Guinea
Guinée équatoriale	Equatorial Guinea ; Republic of Equatorial Guinea
Guinée-Bissao ; Guinée-Bissau	Guinea-Bissau ; Republic of Guinea-Bissau
Guyana	Guyana ; Republic of Guyana
Guyane ; Guyane française	French Guiana
Gémeaux	Gemini
Géorgie	Georgia
H5N1	H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)
Hanoucca	Hannukah
Hanovre	Hanover
Haut-Karabagh	Nagorno-Karabakh
Haïti ; République d'Haïti	Haiti ; Republic of Haiti
Hercule	Hercules
Hercule ; Héraclès	Hercules
Honduras ; République du Honduras	Honduras ; Republic of Honduras
Hongrie	Hungary ; Republic of Hungary
Incitation financière à la protection de l'environnement	environmental incentive
Inde	India ; Republic of India
Indonésie	Indonesia ; Republic of Indonesia
Indre	Indre
Irak ; Iraq	Iraq ; Republic of Iraq
Iran ; République Islamique d' Iran	Iran ; Islamic Republic of Iran
Irlande	Ireland ; Republic of Ireland
Irlande du Nord	Northern Ireland
Islam	Islam
Islande	Iceland ; Republic of Iceland
Israël	Israel ; State of Israel
Italie	Italian Republic ; Italy
Jakarta ; Djakarta	Jakarta ; Djakarta ; DKI Jakarta
Jamahiriya arabe libyenne ; Libye	Libya ; Great Socialist People's Libyan Arab Jamahiriya
Jamaïque	Jamaica
Japon	Japan ; State of Japan
Jordanie	Jordan ; Hashemite Kingdom of Jordan
Joyeux Noël ; Joyeuses Fêtes	Merry Christmas
Joyeux Noël et bonne année	Merry Christmas and a happy New Year
Jupiter	Jupiter
Kazakhstan	Kazakhstan ; Republic of Kazakhstan
Kenya	Kenya ; Republic of Kenya
Khartoum	Khartoum
Kirghizistan ; Kirghizstan	Kyrgyzstan ; Kyrgyz Republic
Kiribati	Kiribati ; Republic of Kiribati
Kosovo	Kosovo
Koweït	Kuwait ; State of Kuwait
Kyoto	Kyoto
L'Iliade ; Iliade	Iliad
La Haye	The Hague
La Mecque	Mecca
Lagos	Lagos
Laos ; République démocratique populaire lao ; République démocratique populaire Lao	Laos ; Lao People's Democratic Republic
Lausanne	Lausanne
Le Caire	Cairo
Les Amériques	Americas
Lesotho	Lesotho ; Kingdom of Lesotho
Lettonie	Latvia ; Republic of Latvia
Liban ; République libanaise ; pays du Cèdre ; pays du cèdre	Lebanon ; Lebanese Republic
Liberia	Liberia ; Republic of Liberia
Liechtenstein ; principauté de Liechtenstein	Liechtenstein ; Principality of Liechtenstein
Lion	Leo
Lisbonne	Lisbon
Lituanie	Lithuania ; Republic of Lithuania
Loi sur l'état d'urgence	emergency law
Londres	London
Luxembourg ; Grand-Duché de Luxembourg	Luxembourg ; Grand Duchy of Luxembourg
Luxembourgeois ; luxembourgeois	Luxembourgish ; Luxemburgish ; Luxembourgian
Lyon	Lyon
Macédoine	Macedonia ; Republic of Macedonia
Madagascar	Madagascar ; Republic of Madagascar
Malaisie	Malaysia
Malawi	Malawi ; Republic of Malaŵi
Maldives	Maldives ; Republic of the Maldives
Mali ; République du Mali	Mali ; Republic of Mali
Malouines ; îles Falkland	Falkland Islands
Malte	Malta ; Republic of Malta
Maroc	Morocco ; Kingdom of Morocco
Martinique	Martinique
Massachusetts	Massachusetts
Maurice	Mauritius ; Republic of Mauritius
Mauritanie	Mauritania ; Islamic Republic of Mauritania
Mayotte	Mayotte
Mer Adriatique	Adriatic Sea
Mer méditerranée	Mediterranean Sea
Mer noire	Black Sea
Mercure	Mercury
Mexique	Mexico ; United Mexican States
Micronésie ; États Fédérés de Micronésie	Micronesia ; Federated States of Micronesia
Milan	Milan
Milwaukee	Milwaukee
Moldavie	Moldova
Monaco	Monaco
Mongolie	Mongolia
Mont Fuji	Mount Fuji
Montserrat	Montserrat
Monténégro	Montenegro
Moscou	Moscow
Mozambique	Mozambique
Mumbai ; Bombay	Mumbai ; Bombay
Munich	Munich
Nairobi	Nairobi
Namibie ; République de Namibie	Namibia
Naples	Naples
Nations Unies ; ONU ; Organisation des Nations Unies	UN ; United Nations
Nauru	Nauru ; Republic of Nauru
Neptune	Neptune
New York	New York
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria
Nioué	Niue
Norvège ; Royaume de Norvège	Norway ; Kingdom of Norway
Nouvelle-Calédonie ; Kaledonia Berria	New Caledonia
Nouvelle-Zélande	New Zealand
Noël	Christmas
Nuuk	Nuuk
Népal	Nepal
Océan Atlantique	Atlantic Ocean
Océan Pacifique	Pacific Ocean
Océan indien	Indian Ocean
Océanie	Oceania
Oiseau de paradis	Apus
Oklahoma	Oklahoma
Oman	Oman ; Sultanate of Oman
Orléans	Orleans
Oslo	Oslo
Ouganda	Uganda ; Republic of Uganda
Pakistan	Pakistan ; Islamic Republic of Pakistan
Palaos ; Belau ; Pelew	Palau
Panama ; Panamá	Panama
Papouasie-Nouvelle-Guinée	Papua New Guinea
Paraguay	Paraguay
Paris	Paris
Parlement	Parliament
Parlement Européen	European Parliament
Pays de Galles	Wales
Pays-Bas ; Royaume des Pays-Bas ; Hollande	Holland ; Kingdom of the Netherlands ; The Netherlands
Petit Chien	Canis Minor
Philadelphie	Philadelphia
Philippines	Philippines
Phobos	Phobos
Pologne	Poland
Polynesie Francaise ; Pays d'outre-mer de la Polynesie Francaise ; Polynésie française ; Pays d'outre-mer de la Polynésie Française	French Polynesia
Porto Rico	Puerto Rico
Portugal	Portugal
Pyrénées	Pyrenees
Pâques	Easter
Pékin	Beijing
Pérou	Peru ; Republic of Peru
Qatar	Qatar
RDA ; République démocratique allemande	GDR ; German Democratic Republic
Rhone ; Rhône	Rhône
Roi-Soleil	Sun King
Rome	Rome
Roumanie	Romania
Royaume-Uni ; Royaume-Uni de Grande-Bretagne et d'Irlande du Nord	United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK
Russie ; Fédération de Russie	Russia ; Russian Federation
République Démocratique du Congo ; Congo-Kinshasa ; République démocratique du Congo ; Congo	Democratic Republic of the Congo ; Congo-Kinshasa
République centrafricaine	Central African Republic
République dominicaine	Dominican Republic
République du Congo ; Congo-Brazzaville ; Congo	Republic of the Congo ; Congo-Brazzaville
Révolution française	French Revolution
SIDA	AIDS
Sagittaire	Sagittarius
Saint-Marin	San Marino
Saint-Pierre-et-Miquelon ; San Pedro e Miguelón	Saint-Pierre and Miquelon
Saint-Pétersbourg	Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg
Sakhaline	Sakhalin ; Saghalien
Salvador	El Salvador ; Republic of El Salvador
Samoa	Samoa
Samoa américaines	American Samoa
Saturne	Saturn
Saxe	Saxony
Scorpion	Scorpio
Seine	Seine
Serbie	Serbia
Serbie-et-Monténégro	Serbia and Montenegro
Seychelles	Seychelles ; Republic of Seychelles
Sierra Leone	Sierra Leone
Singapour	Singapore
Slovaquie	Slovakia
Slovénie	Slovenia
Sotchi	Sochi
Sri Lanka	Sri Lanka
Sudan ; Soudan	Sudan
Suisse	Switzerland
Surinam	Suriname
Suède	Sweden
Syrie ; République Arabe Syrienne	Syria ; Syrian Arab Republic
Sénégal	Senegal
Tadjikistan	Tajikistan
Tanzanie	Tanzania
Taureau	Taurus
Taïwan	Taiwan
Tchad	Chad ; Republic of Chad
Tchéquie ; République tchèque	Czech Republic ; Czechia
Tennessee	Tennessee
Terres australes et antarctiques françaises ; Territoire des Terres australes et antarctiques françaises	French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands
Territoire m britannique de l' Océan Indien ; Territoire britannique de l' Océan Indien	British Indian Ocean Territory ; BIOT
Thaïlande	Thailand
Thuringe	Thuringia
Timor Oriental	East Timor ; Democratic Republic of Timor-Leste
Togo	Togo
Tokyo	Tokyo
Tonga	Tonga
Toronto	Toronto
Tunisie	Tunisia
Turkménistan	Turkmenistan
Turquie	Turkey
Téhéran	Tehran
UE ; Union européenne	EU ; European Union
Ukraine	Ukraine
Uranus	Uranus
Ursidae	ursid
Utah	Utah
Vaduz	Vaduz
Venezuela ; Vénézuéla ; Vénézuéla	Venezuela
Venise	Venice
Verseau	Aquarius
Vienne	Vienna
View lemma information ; léthargie	lethargy ; sluggishness ; languor
Voie lactée	Milky Way ; Galaxy
Volga	Volga
Vénus	Venus
Washington	Washington
Web	World Wide Web ; WWW
Wikipédia	Wikipedia
Wiktionnaire	Wiktionary
Wyoming	Wyoming
Yougoslavie	Yugoslavia
Yémen	Yemen ; Republic of Yemen
Zambie	Zambia ; Republic of Zambia
Zanzibar	Zanzibar
Zimbabwe	Zimbabwe ; Republic of Zimbabwe
abaque ; boulier	abacus
abattage	cutting
abattoir	slaughterhouse ; slaughter-house ; abattoir ; butchery ; shambles
abattoir	slaughter-house
abattre	slaughter
abcès	abscess
abeille	bee
abhorrer	abhor ; loathe ; detest
abkhaze	Abkhaz ; Abkhazian ; Abkhazian
abolitionniste	abolitionist
abords ; approche	approach
abrasif	abrasive
abri d'urgence	emergency shelter
abri pour animaux	animal shelter
abricot	apricot
abréger	abridge
abréviation	abbreviation
absolument	absolutely
absorption	absorption
absorption de polluant	pollutant absorption
abstinence ; chasteté	celibacy
acarien	mite
acceptabilité	reasonableness
accessoire	attachment
accident	accident
accident du travail	work accident
accident majeur	major accident
accident nucléaire	nuclear accident
accident écologique	environmental accident
accord	agreement
accord international	international agreement
accord multilatéral	multilateral agreement
accordéon	accordion ; squeeze box ; piano accordion
accouchement ; naissance ; naissance ; naissance ; parturition ; mise-bas ; mise-bas	birth ; birth ; birth ; childbirth ; childbirth ; childbirth ; parturition
accoucher	deliver
accroissement de la population	population growth
accumulateur	accumulator
accumulation de polluant	pollutant accumulation
accusé	defendant ; accused
accès aux documents administratifs	access to administrative documents
accès public aux terres	public access to land
accès à l'information	access to information
accès à la culture	access to culture
accès à la justice	access to the courts
accélération	acceleration
achat	buy ; purchase
achat de produits et de services écologiques	environmental friendly procurement
acheter	buy ; purchase
acide	acid
acide aminé	amino acid
acide chlorhydrique	hydrochloric acid ; muriatic acid
acide dilué	diluted acid
acide nucléïque	nucleic acid
acidification	acidification
acidité	acidity
acier	steel
acné	acne
acoustique	acoustics
acquisition	acquisition
acquisition ; rachat	takeover
acquisition des données	data acquisition
acte	act ; deed
acte administratif	administrative deed
acte communautaire	Community act
acte de commerce	commercial transaction
acte juridique	juridical act
actinide	actinide
actinium	actinium
action anthropique	anthropic activity
action publique	public action
activiste	activist
activité bancaire	banking
activité d'extraction off-shore	deep sea mining
activité de conseil dans le domaine politique	political counselling
activité de l'entreprise	business activity
activité de production	manufacturing activity
activité des substances	behaviour of substances
activité industrielle	industrial activity
activité militaire	military activities
activité sismique	seismic activity
activité terrestre	land-based activity
activité économique	economic activity
acuité auditive	hearing acuity
adaptation écologique	ecological adaptation
adapter	arrange ; adapt ; adjust ; conform ; accommodate ; suit
additif	additive
additif pour carburants	fuel additive
additifs alimentaires et colorants	food additive
addition	addition
addition chimique	chemical addition
adhésif	adhesive
adjectif	adjective ; describing word
administration	administration ; direction ; management
administration centrale	central government
adoption	adoption
adsorption	adsorption
adulte	adult
adverbe	adverb
afar	Afar ; Afar
affaissement	subsidence
affectation	allocation ; allotment ; resource allotment
affectation des sols	land use
affecter	assign
affirmer	assert
affluent	inflow
afrikaans	Afrikaans
agence pour la protection de l'environnement	environmental protection agency
agent complexant	complexing agent
agent conservateur	preservative
agent d'ignifugation	fireproofing agent
agent d'imprégnation	impregnating agent
agent de blanchiment	bleaching agent
agent moussant	foaming agent
agent oxydant	oxidising agent
agent pathogène	pathogen
agent tératogène	teratogen
agglomération	built-up area
agglutinant du pétrole	oil binding agent
agoraphobie ; agoraphobie	agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia
agresseur	aggressor ; assailant ; attacker ; assaulter
agressif	aggressive
agriculture	agriculture
agriculture ; agriculture	agriculture ; agriculture
agriculture biologique	organic farming
agriculture et élevage industriel	agriculture and cattle industry
agriculture intensive	intensive farming
agro-alimentaire	agri-foodstuff
agro-foresterie	agroforestry
agro-météorologie	agrometeorology
agroindustrie	agroindustry
agronomie	agronomy
agrosystème	agrosystem
agrément	agreement
aide au développement	development aid
aide au financement	financial assistance
aide financière	financial aid
aide humanitaire	humanitarian aid
aide internationale	international assistance
aide publique	public aid
aide à la décision	decision making support
aigue-marine	aquamarine
aimer	love
air	air
air respiratoire	respiratory air
aire de nidification	nesting area
aisselle	armpit
ajuster	adjust
alarme	alarm ; alert ; warning
albinisme	albinism
alcalins ; éléments du groupe I ; alcalin ; élément du groupe I	alkaline ; element of group I ; alkaline metal ; alkali metal
alcane	alkane ; paraffin ; methane series ; alkane series
alchimie	alchemy
alchimiste	alchemist
alcool	alcohol
alcool-carburant	fuel alcohol
alcoolique ; ivrogne	drunk ; drunkard ; boozer
alcoolisme	alcoholism
alerte au brouillard de fumée	smog warning
algicide	algicide ; algaecide
algorithme	algorithm
algue	alga
algue bleue ; cyanobacteria ; cyanobactérie	blue-green alga ; cyanobacteria
algèbre	algebra
alibi	alibi
alignement	alignment
aliment	food
aliment pour animaux	animal foodstuff
aliment transformé	processed foodstuff
alimentation des animaux	feeding of animals
alimentation en eau	water supply
alimentation en gaz	gas supply
aliments de base	staple food
allemand	German
allemand (Autriche)	German (Austria)
allemand (Suisse)	German (Switzerland)
allemand ; allemand ; allemande	German
aller	go
allergie	allergy
allergène	allergen
alliage	alloy
allocation	allowance
allocation de terrain pour cultivation	land allotment
allotropie	allotropy
alluvion	alluvion ; flood ; overflowing ; inundation
allégorie	allegory
almanach	almanac
alphabet	alphabet
alphabet cyrillique	Cyrillic alphabet
alphabet grec	Greek alphabet
altitude	altitude
altération climatique	climatic alteration
altération physique	physical alteration
alumine	alumina
aluminium	aluminium
alvéole	air sac ; alveolus
amalgame ; amalgame	amalgam
amande	almond
ambassade	embassy ; diplomatic mission
ambassadeur	ambassador
ambitieux	ambitious
ambre ; ambre jaune	amber
ambulance	ambulance
amende	fine
amendement de loi	law amendment
amendement minéral	mineral conditioner
amiante	asbestos
amidon	starch
amine	amine
ammoniac	ammonia
ammonisation	ammonification
ammonium	ammonium
amour	love
amphithéâtre	amphitheatre
amphétamine	amphetamine
amplitude	aAmplitude ; amplitude
ampoule ; cloque	blister
amélioration de l'efficacité	improvement of efficiency
amélioration de l'image	image enhancement
amélioration des logements	housing improvement
amélioration des plantes	plant selection
amélioration génétique	breeding
aménagement antiérosif	erosion control
aménagement de la montagne	mountain management
aménagement de la zone littorale	coastal zone planning
aménagement du paysage	landscape architecture
aménagement du paysage	landscape planning
aménagement du territoire	land management and planning
aménagement du territoire	land planning
aménagement du territoire	land setup
aménagement du territoire	land use planning
américium	americium
améthyste	amethyst
an ; année	year ; solar year
anaconda	anaconda
anagramme	anagram
analogie	analogy
analogue	analogous
analphabète	illiterate
analyse	analysis
analyse	assay
analyse biologique	biological analysis
analyse chimique	chemical analysis
analyse chromatographique	chromatographic analysis
analyse coûts-bénéfices	cost-benefit analysis
analyse de bruit	noise analysis
analyse de filière	process analysis
analyse de l'écosystème	ecosystem analysis
analyse de polluant	pollutant analysis
analyse des données	data analysis
analyse des résidus	residue analysis
analyse mathématique	mathematical analysis
analyse microbiologique	microbiological analysis
analyse physico-chimique	physicochemical analysis
analyse économique	economic analysis
anarchie	anarchy
anarchisme	anarchism
anatidé	swans, geese and ducks
anatomie	anatomy
ancre	anchor
ange	angel
angiospermes ; plante à fleur	angiosperm ; flowering plant
anglais	English
animal	animal
animal aquatique	aquatic animal
animal d'élevage	farm animal
animal destiné à l'abattage	animal for slaughter
animal domestique	pet
animal domestique	domesticated animal
animal sauvage	wild animal
animal à fourrure	fur animal
animal à sang chaud	warm-blooded animal
anime	anime
anion	anion
anis	anise
anniversaire	anniversary
anniversaire	birthday
année bissextile	leap year
annélides	annelid
antagonisme	antagonism
antenne	aerial
anthracite ; houille	black coal ; black coal ; black coal ; anthracite coal
anthropologie	anthropology
anthropologue	anthropologist
antibiotique	antibiotic
anticipation d'un danger	anticipation of danger
anticorps	antibody
antilope	antelope
antimoine	antimony
antiparticule	antiparticle
antithèse	antithesis
antonyme	antonym
août	August
apartheid	apartheid
apathie	apathy
aphorisme	aphorism
apiculteur	beekeeper ; apiculturist
apiculture	apiculture ; beekeeping
apoptose	apoptosis
appareil d'analyse	analytical equipment
appareil de chauffage	heater
appareil de surveillance	monitoring equipment
appareil photographique ; appareil photo	camera
appareil volant ; aéronef	aircraft
appareil électro-ménager	domestic appliance
appauvrissement	impoverishment
appauvrissement de la couche d'ozone	ozone layer depletion
appel	appeal
application	enforcement
application de loi	law enforcement
application du droit de l'environnement	environmental law enforcement
apport de solution à un problème environnemental	environmental problem solving
apporter ; amener	bring
apprendre	learn
approbation	approval ; approbation
approvisionnement alimentaire approprié	adequate food supply
approvisionnement en eau potable	drinking water supply
approvisionnement en électricité	electric power supply
approvisionnement en énergie	energy supply
apôtre	apostle
aquaculture	aquaculture
aquarium	aquarium
aqueduc	aqueduct
aquifère	aquifer
arabe	Arabic ; Standard Arabic
aragonais	Aragonese ; Aragonese
araignée	spider
arboretum	arboretum
arboriculture	arboriculture
arbre	tree
arbre de Noël	Christmas tree
arbre fruitier	fruit tree
arbre à feuilles caduques	deciduous tree
arbuste ; arbrisseau	shrub
arc	bow
arc-en-ciel	rainbow
archer	archer ; archer
archevêque	archbishop
archiduc	archduke
archipel	archipelago
architecte	architect
architecture	architecture
architecture "durable"	environmental sustainable architecture
archive	archive
archéologie	archaeology ; archeology ; archæology
archéologique	archaeological
archéologue	archeologist ; archaeologist
archétype	archetype
argent	silver
argile	clay
argon	argon
aridoculture	dry farming
aristocratie	aristocracy
arithmétique	arithmetic ; arithmetics
arme	weapon
arme biologique	biological weapon
arme chimique	chemical weapon
arme nucléaire	nuclear weapon
armement	armament
armistice	armistice
arménien	Armenian
arrivée	arrival
arrondissement minier	mining district
arrêt ; arrêt de justice	judgement (sentence) ; sentence ; judgement
arsenal	armoury
arsenic	arsenic
art	art
arthrite	arthritis
arthropodes	arthropod
artichaut	artichoke
article	article
articulata	Articulata
articulation	joint ; articulation
artisanat	craft ; arts and crafts
artisanat d'art	handicraft
artiste	artist ; creative person
artère	artery
arôme	flavouring
asbestose	asbestosis
ascendant	ascendancy
ascète	ascetic
aspect global	global aspect
aspect militaire ; aspects militaires	military aspects
aspects socio-économiques des établissements humains	socioeconomic aspect of human settlements
aspects écologiques des établissements humains	environmental aspect of human settlements
asperge	asparagus
asphalte	asphalt
aspirateur	vacuum cleaner
aspiration	aspiration
aspirine	aspirin
assainissement autonome	individual wastewater treatment
assainissement collectif	collective wastewater treatment
assamais	Assamese ; Assamese
assassin	assassin ; assassinator
assentiment	assent
assimilation	assimilation
assimiler	assimilate
assistance en matière de crédit	credit assistance
assister ; aider	assist
assister à	attend
association	association
association de défense de l'environnement	environmental protection association
association industrielle	industrial association
assorti	assorted
assurance	insurance
assurance de qualité	quality assurance
assurance dommages	damage insurance
assurance pollution	pollution insurance
assuré	assertive
assèchement	draining
astate	astatine
asthme	asthma
asthénosphère	asthenosphere
astrologie	astrology ; star divination
astrologue	astrologer
astrométrie	astrometry
astronautique	astronautics
astronome	astronomer
astronomie	astronomy
asturien	Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur
astérisque	asterisk
astéroïde	asteroid
asymptote	asymptote
atelier de décapage	pickling plant
atelier de peinture	paint room
athée	atheist
atlas	atlas
atmosphère	atmosphere
atoll	atoll
atome	atom
atrazine	atrazine
atrocité	atrocity
attachement	attachment
attaché	attached
attaque	attack
atteindre	attain
atteinte à l'environnement	environmental damage
atteinte à l'environnement	offence against the environment
attentif	attentive
attirer	attract
attitude	attitude
attitude NIMBY ; attitude NIMBY ; attitude NIMBY	NIMBY aptitude ; NIMBY attitude
attribut	attribute
attribut biologique	biological attribute
attribution ministérielle	minister competence
au revoir ; salut ; adieu	adieu ; bye ; cheerio ; farewell ; good day ; goodbye
audacieux	audacious
audience officielle	official hearing
audiovisuel	audiovisual media
audit	audit
audit d'environnement	environmental auditing
audition	hearing
audition publique	public hearing
augmentation de la salinité de l'eau	water salination
augmentation des coûts	cost increase
augmenter	augment
auriculaire ; petit doigt	little finger ; pinkie
auto caravane	mobile home
autobus ; bus ; car	bus ; coach
autocratie	autocracy
automne	autumn
automobile ; bagnole ; voiture	car ; automobile
autopsie	autopsy
autorisation	authorisation
autorisation	permission
autorisation administrative	administrative fiat
autorisé	authoritative
autoritaire	authoritarian
autorité ; corps exécutif	authority body
autorité de contrôle	controlling authority
autorité fédérale	federal authority
autorité législative	legislative authority
autorité régionale	provincial/regional authority (D) ; regional authority ; provincial authority
autorité régionale	regional authority
autoroute	motorway ; pike ; expressway ; freeway ; state highway ; superhighway ; throughway ; thruway
autoroute ; route	highway
autoécologie	autoecology
autruche	ostrich
avalanche	avalanche
avalanche	snowslide
avaler ; consommer ; manger	consume ; eat ; swallow
avance	advance
avare	avaricious
avec	alongside ; amongst ; with
aventure	adventure
aveugle	blind
aveugler	dazzle
aviculture	aviculture
